State,Download Script Ready?,Administration,Allocation,Distribution,Wastage,Age,Race,Ethnicity,Gender,Resident/Non-resident,County Level,Zip Code Level,Coverage in Vulnerable Communities,Manufacturer ,Provider,Data cumulative or not,Data Score,Method to download,Link,Info Type,Notes,Link to get vaccine,Hotline,age policy description (old),age policy description (new),eligible age for vaccine (Apr 15),eligible age for vaccine (Sep 8),Policy Change (timeline)
Rhode Island,Only Manual,1,0,0,0,1,1,0,1,0,1,0,0,0,0,Not cumulative,5,google sheets available and upated everyday,https://ri-department-of-health-covid-19-vaccine-data-rihealth.hub.arcgis.com/,Very detailed and integrated dataset!!,daily,"https://rihealth.maps.arcgis.com/apps/instant/nearby/index.html?appid=68a3760359bb4be6b0a582902f8588be&center=-70.9407,41.7858&level=8",844-930-1779,"Rhode Island currently vaccinates adults age 40 and older, healthcare workers, public-safety workers, first responders, those living in congregate settings and long-term-care facilities, people experiencing homelessness, schoolteachers and staff, and child-care workers. People age 16 and older with underlying medical conditions are eligible, too. State officials have said all adults age 16 and up should be eligible for a vaccine by April 19.
 
 The state has a vaccine finder and a notification system.",ree walk-ins are now available at many sites for everyone age 16 and older. Many options are also available for ages 12-15.,16+,12+,
South Carolina,"Only Manual, pdf and picture available",1,1,0,0,1,1,1,1,0,1,1,0,1,0,Both,9,"pdf downloads, can write code to transform",https://scdhec.gov/covid-19-vaccine-allocations-south-carolina-0,"Detailed allocation data, can possibly do analysis, format is pdf",Updated weekly but only up to July..,https://scdhec.gov/covid19/covid-19-vaccine,866-365-8110,All South Carolina residents age 16 and up are eligible to receive the Covid-19 vaccine. Eligible residents must call or book a vaccination appointment online directly with a provider. There is no preregistration option.,Everyone 12+ is Eligible*,16+,12+,
South Dakota,Download Not Available,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cumulative,1,need code to extract,https://doh.sd.gov/COVID/Dashboard.aspx,"Vaccine adminstration data by county, with demographics",Updated daily,https://doh.sd.gov/COVID/Vaccine/ProviderMap/default.aspx,800-232-0233,"On April 5, the state expanded vaccine eligibility to any resident 16 years and older. The state lists providers by county and their websites, which have eligibility questionnaires and the option to be added to the provider?? wait list.",ages 12 and older,16+,12+,
Tennessee,Automatic download,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Not cumulative,2,website down as of 9/14,https://www.tn.gov/health/cedep/ncov/covid-19-vaccine-information.html,"Comprehensive, includes demographics,and administration info into different counties",Updated daily,https://covid19.tn.gov/covid-19-vaccines/availability/,,"Everyone in Tennessee age 16 and older is eligible for the vaccine.
 
 The state offers county-by-county information and an eligibility tool that allows residents to receive notifications about vaccine updates.",CDC recommends everyone 12 years and older should get a COVID-19 vaccination to help protect against COVID-19.,16+,12+,
Texas,Data stop updating since July,1,1,0,0,1,1,0,1,0,1,0,0,0,1,Cumulative,7,csv download available,https://dshs.texas.gov/coronavirus/AdditionalData.aspx,Vaccine allocation data is included,only updated until May: Reason for not updating is that supply was sufficient and that no weekly allocation was needed anymore,https://www.dshs.state.tx.us/coronavirus/immunize/vaccine.aspx#where,833-832-7067,"The state has opened vaccine eligibility to all those age 16 and older.
 
 There are large vaccination hubs around the state, and eligible residents can check for appointments on a hub?? website; the state notes that each hub has a different process. There also is a vaccine-provider map that lists providers, and eligible residents need to contact them directly.
 
 There is no preregistration option.",Everyone 12+ Eligible for Free COVID-19 Vaccination,16+,12+,
Utah,,1,1,0,0,1,1,1,1,0,0,0,0,,0,"Cumulative, not downloadable",6,need code to extract,https://coronavirus-dashboard.utah.gov/vaccines.html,"Comprehensive data, includes # doses delievered to each jurisdiction location",Updated daily,https://coronavirus.utah.gov/vaccine-distribution/,https://coronavirus.utah.gov/vaccine-distribution/,All Utah residents age 16 and older are eligible for the vaccine. Eligible residents should contact their local health department or school district to schedule an appointment. The state offers an option to sign up for email updates.,All Utahns ages 12 and older can get the vaccine.,16+,12+,
Vermont,,1,0,0,0,1,1,1,1,0,1,0,0,0,0,Not cumulative,6,need code to extract,https://www.healthvermont.gov/covid-19/vaccine/covid-19-vaccine-dashboard,Administration data as well as demographics,Updates Tuesday-Saturday,https://vermont.force.com/events/s/selfregistration,855-722-7878,"Vermont currently vaccinates anyone age 30 and older, people age 16 and older with certain high-risk health conditions, school and child-care staff, public-safety workers, healthcare workers, immigrant and refugee communities, Black and indigenous communities, and people of color. Vaccines are available at regional clinics, partner hospitals, providers and pharmacies. The state doesn?? have a preregistration option but allows eligible residents to make an online appointment. Eligibility will expand to anyone 16 and older on April 19.","Anyone age 12 and older is eligible to be vaccinated, regardless of residency.",16+,12+,
Virginia,,1,0,0,0,1,1,1,1,0,1,0,0,1,1,"Cumulative, pdf downloads",8,need code to extract,https://www.vdh.virginia.gov/coronavirus/covid-19-in-virginia/covid-19-vaccine-summary/,"Contains lots of data type, including received vaccine doses as well as their dates. Demographics are also included",Updates Weekly on Fridays,https://vase.vdh.virginia.gov/vdhapps/f?p=725:1,877-829-4682,"Virginia currently vaccinates people age 65 and older, healthcare personnel, residents of long-term-care facilities, front-line essential workers, people age 16 to 64 with underlying medical conditions, and those living in correctional facilities, homeless shelters and migrant-labor camps, as well as other essential workers. The state will open eligibility to everyone age 16 and older on April 18. Most healthcare workers are being vaccinated through their workplaces, and others who are eligible can get vaccinated at employer-based clinics, local health departments, or through pharmacies, urgent-care or healthcare systems. The state offers an eligibility tool and an option to preregister for those eligible.",Pfizer-BioTech: 12+; Moderna: 18+; J&J: 18+,16+,12+,
Washington,Automatic download,1,0,0,0,1,1,1,1,0,1,0,0,0,0,"Cumulative vaccine data, Not cumulative cases/death",6,need code to extract,https://www.doh.wa.gov/Emergencies/COVID19/DataDashboard,"Vaccination adminstration info, demographics, info by counties",Updates daily,https://vaccinelocator.doh.wa.gov/,855-363-0333,Residents of Washington age 16 and older became eligible for the vaccine April 15. The state lists providers and contact information by county.,All DC residents 12 and older are eligible to receive the COVID-19 vaccine.,16+,12+,
West Virginia,,1,0,0,0,1,1,1,1,0,1,0,0,0,0,"Cumulative, hard to extract",6,need code to extract,https://dhhr.wv.gov/COVID-19/Pages/default.aspx,"Overall administration info, demographics, doses coverage",Updates daily,https://dhhr.wv.gov/COVID-19/Pages/Vaccine.aspx,833-829-4357,"West Virginia has opened up eligibility to residents 16 years and older, although those 65 years and older remain prioritized.
 
 The state has community vaccination clinics but advises residents to contact their local health department to find out which vaccination management system they are using for enrollment and scheduling. All 55 counties are holding clinics for adults 65 and older.",The COVID-19 vaccine is available to people 12 years and older.,16+,12+,
Wisconsin,,1,0,0,0,1,1,1,1,1,1,0,0,1,1,"Cumulative, but there are shapefile, geo file available",9,csv/xlsx download available,https://www.dhs.wisconsin.gov/covid-19/vaccine-data.htm#day,"Allocated and administered info, demographics, providers, types of vaccine info",Updates daily,https://www.dhs.wisconsin.gov/covid-19/vaccine-get.htm,833-734-0965,"Everyone in Wisconsin age 16 and older is eligible for the vaccine as of April 5, though vaccine providers will give priority to previously eligible groups.
 
 The vaccine is being provided through healthcare providers, pharmacies, local health departments, places of employment, and mass vaccination clinics, and the state says local health departments are coordinating many of the options. There is no information about appointments or preregistering.",All West Virginians 12 years of age and older are eligible to receive the COVID-19 vaccine.,16+,12+,
Wyoming,,1,0,0,0,1,0,0,0,0,1,0,0,1,0,"Cumulative, hard to extract",4,need code to extract,https://health.wyo.gov/publichealth/immunization/wyoming-covid-19-vaccine-information/covid-19-vaccine-distribution-data/,"Vaccination administration info, age range/ counties info, types of vaccines info",Updates daily,https://health.wyo.gov/publichealth/immunization/wyoming-covid-19-vaccine-information/county-covid-19-vaccine-information/,877-947-2211,"Wyoming is vaccinating individuals age 16 and older. The state has an online preregistration form, though the process varies county by county.",Everyone 12 and older is recommended to receive a COVID-19 vaccine.,16+,12+,
