Clinic_Name,Clinic_Street_Address,Clinic_City,Clinic_State,Clinic_Zip,County,Broken_Vial_Syringe,Vaccine_Drawn_But_Not_Administer,Lost_Or_Unaccounted_For_Vaccine,Open_Vial_But_Not_Administered,Other,Spoilage,Georeferenced Latitude & Longitude
VDI-Harrisburg Pharmacy,2645 North 3rd St,Harrisburg,Pennsylvania,17110,Dauphin,0,0,0,678,14,84,POINT (-76.899494 40.287121)
Excela Health Frick Hospital,508 South Church Street,Mount Pleasant,Pennsylvania,15666,Westmoreland,0,0,0,24,35,2790,POINT (-79.548217 40.146369)
Gettysburg Cancer Center,20 Expedition Trail,Gettysburg,Pennsylvania,17325,Adams,0,3,0,3,3,0,POINT (-77.185382 39.845664)
WELLSPAN EPHRATA COMMUNITY HOSPITAL,PHARMACY DEPARTMENT 169 MARTIN AVENUE,EPHRATA,PENNSYLVANIA,17522,Lancaster,35,1,0,276,116,0,
Dauphin County SHC,30 Kline Plaza,Harrisburg,Pennsylvania,17104,Dauphin,1,13,0,967,235,3448,
Encompass Sewickley,351 Campmeeting Rd,Sewickley,Pennsylvania,15143,Allegheny,0,0,0,0,3,0,POINT (-80.201249 40.576452)
Wellspan Family Medicine-East Berlin,105 4th Street,East Berlin,Pennsylvania,17316,Adams,0,0,0,0,1,0,POINT (-76.983643 39.938133)
University of Pittsburgh,4041 Fifth Avenue Nordenberg Hall,Pittsburgh,Pennsylvania,15213,Allegheny,9,29,4,1474,782,1840,POINT (-79.955252 40.444085)
Mercy Catholic Medical Center,1500 Lansdowne Ave.,Darby,Pennsylvania,19023,Delaware,0,0,0,576,916,20,POINT (-75.26788 39.926288)
Keystone Urgent Care,111 Chambers Hill Dr,Chambersburg,Pennsylvania,17201,Franklin,0,0,0,4,41,0,
Indiana County SHC,72 North 2nd Street,Indiana,Pennsylvania,15701,Indiana,0,0,0,34,1,90,POINT (-79.140711 40.623767)
Susq Comm Hlth and Dental Cnte,471 Hepburn Street,Williamsport,Pennsylvania,17701,Lycoming,0,78,0,222,1803,271,POINT (-77.006929 41.242265)
DCI Renal Srvs of Pbg LLC North V,613 E Pittsburgh McKeesport Blvd,North Versailles,Pennsylvania,15137,Allegheny,0,0,0,192,12,0,POINT (-79.827955 40.372984)
Reading Pediatrics,40 Berkshire Court,Reading,Pennsylvania,19610,Berks,0,0,0,0,0,32,POINT (-75.975412 40.341454)
UPMC Pinnacle West Shore,1995 TECHNOLOGY PARKWAY,Mechanicsburg,Pennsylvania,17050,Cumberland,0,0,0,0,4,0,POINT (-76.976697 40.284282)
PH-Penn Highlands Brookville,100 Hospital Road,Brookville,Pennsylvania,15825,Jefferson,0,0,0,40,0,0,POINT (-79.092884 41.156473)
Nason Hospital,105 Nason Dr,Roaring Spring,Pennsylvania,16673,Blair,0,0,0,0,16,50,POINT (-78.388569 40.337973)
VDI Northern Bedford Pharmacy,3499 Brumbaugh Rd,New Enterprise,Pennsylvania,16664,Bedford,0,0,0,69,206,0,POINT (-78.417164 40.16967)
UPMC-Western Psych Institute and Clinic,3811 O'Hara Street,Pittsburgh,Pennsylvania,15213,Allegheny,12,0,0,0,1,0,POINT (-79.959784 40.443278)
Caring Hands Pediatrics-Robinson,300 Cedar Ridge Drive,Pittsburgh,Pennsylvania,15205,Allegheny,0,0,0,22,0,41,POINT (-80.107284 40.447664)
PENN FAMILY MEDICINE SCC,455 W Woodview Road,West Grove,Pennsylvania,19390,Chester,0,0,0,169,4,66,POINT (-75.865729 39.829687)
LVPG Family Medicine-Blakeslee,5683 Route 115,Blakeslee,Pennsylvania,18610,Monroe,0,0,0,0,6,0,POINT (-75.59388 41.093847)
Duquesne Uni-Ctr for Pharm Care,600 Forbes Avenue 215 A Student Union,Pittsburgh,Pennsylvania,15282,Allegheny,0,0,0,562,1258,132,
Functnal Hth Ctr Phoenix Contact,586 Fulling Mill Rd,Middletown,Pennsylvania,17057,Dauphin,0,0,0,0,2,0,POINT (-76.75007 40.229379)
LGHP Manor Ridge Fam Med Downtwn,701 North Duke Street,Lancaster,Pennsylvania,17602,Lancaster,0,0,0,0,15,0,POINT (-76.30574 40.049158)
Nurses Unite for Change and Equity,3439 Verner Street,Drexel Hill,Pennsylvania,19026,Delaware,0,0,0,35,1233,1173,POINT (-75.293999 39.943496)
Beaver Falls Health Mart Pharmacy,1314 7th Ave,Beaver Falls,Pennsylvania,15010,Beaver,0,0,0,6,0,0,POINT (-80.319462 40.754529)
VDI-Townville Pharmacy,2195 Route 442 Hwy,Muncy,Pennsylvania,17756,Lycoming,0,0,0,300,1453,864,
WellSpan Family Medicine-Stony Brook,4222 Lincoln Hwy,York,PA,17406,York,0,0,0,2,3,0,POINT (-76.630695 39.996212)
Integrated Medical Group PC-Green Hills,1903 Morgantown Road,Reading,Pennsylvania,19607,Berks,0,0,0,0,10,0,POINT (-75.923714 40.281153)
Monroe County SHC,1972 West Main Street,Stroudsburg,Pennsylvania,18360,Monroe,0,0,0,0,25,100,POINT (-75.226481 40.981977)
Susquehanna County SHC,157 Spruce Street,Montrose,Pennsylvania,18801,Susquehanna,0,0,0,11,4,0,POINT (-75.878225 41.83569)
Chambersburg Hosp Wellspan Summit,112 N. 7th Street,Chambersburg,Pennsylvania,17201,Franklin,0,0,0,6,101,0,POINT (-77.647451 39.934915)
WellSpan OB/GYN-Dover,3992 Carlisle Road,Dover,PA,17315,York,0,0,0,24,142,0,POINT (-76.842228 39.992923)
PHN-New Castle Primary Care,1112 South Mill Street,New Castle,Pennsylvania,16101,Lawrence,1,0,0,0,2,0,POINT (-80.343873 40.987843)
Community Primary Care,1000 West View Park Dr,Pittsburgh,Pennsylvania,15229,Allegheny,0,0,0,0,299,0,POINT (-80.036979 40.516569)
Compr Hlh Srvs Lehigh Vlly,1627 Chew St 3rd Floor Green Elevator,Allentown,Pennsylvania,18102,Lehigh,0,0,0,10,156,0,
Novus Adult Care Services,1565 Linden Street,Bethlehem (Part-Northampton),Pennsylvania,18017,Northampton,0,0,0,0,76,0,POINT (-75.368632 40.635121)
George M Kosco III DO and Assoc PC,2801 Old Post Rd,Harrisburg,Pennsylvania,17110,Dauphin,0,0,0,95,22,91,POINT (-76.851092 40.330311)
Encompass Health Rehab  Hosp of Altoona,2005 Valley View Boulevard,Altoona,Pennsylvania,16602,Blair,0,0,0,0,0,30,POINT (-78.392201 40.497995)
Healthy Measures LLC,1260 Valley Forge Rd.,Phoenixville,Pennsylvania,19460,Chester,0,0,0,92,0,416,POINT (-75.486077 40.116411)
FPC-Pagana Defazio Fam Practice Ctr,1072 MARKET ST,Sunbury,Pennsylvania,17801,Northumberland,0,0,0,0,3,0,POINT (-76.7837 40.858975)
Welcome Pharmacy,1607 NORTHAMPTON ST,Easton,Pennsylvania,18042,Northampton,0,0,0,0,2,0,POINT (-75.234213 40.689931)
UPMC-Hamot,201 State St,Erie,Pennsylvania,16507,Erie,0,0,0,31,251,0,POINT (-80.087825 42.133331)
CKHN CROZER KEYSTONE CTR FAM HLTH,1260 E  WOODLAND AVE,Springfield,Pennsylvania,19064,Delaware,0,0,0,28,113,18,POINT (-75.331244 39.911732)
Wellspan Ped Medic Shrewsbry,15 Constitution Ave,Shrewsbury,Pennsylvania,17361,York,0,0,0,6,26,120,POINT (-76.678617 39.753377)
Nells Pharmacy-Spry,2720 S Queen Street,York,Pennsylvania,17403,York,0,0,0,1,1,0,POINT (-76.680139 39.907563)
Lansdale Rx Pharmacy,1801 N BROAD ST,Lansdale,Pennsylvania,19446,Montgomery,0,0,0,2137,173,144,POINT (-75.266835 40.257506)
UPMC-SH Fam Med Montoursville,900 Plaza Drive,Montoursville,Pennsylvania,17754,Lycoming,0,0,0,1612,638,911,POINT (-76.913694 41.246677)
UPMC-Pinnacle Harrisburg,RX DEPT 111 S FRONT ST,Harrisburg,Pennsylvania,17101,Dauphin,0,0,0,1008,226,0,
Saint John Vianney Center,151 Woodbine Road,Downingtown,Pennsylvania,19335,Chester,0,0,0,10,0,0,POINT (-75.685535 40.011175)
FPC-Elizabethtown Family Practice Center,300 Maytown Road,Elizabethtown,Pennsylvania,17022,Lancaster,0,0,0,0,7,0,POINT (-76.600941 40.137196)
New Castle Pharmacy,1112 South Mill Street,New Castle,Pennsylvania,16101,Lawrence,0,0,0,75,0,0,POINT (-80.343873 40.987837)
The Medicine Shoppe Oakmont,215 Allegheny ave,Oakmont,Pennsylvania,15139,Allegheny,0,0,0,28,0,0,POINT (-79.843549 40.514374)
Wyoming County SHC,5632 SR 6,Tunkhannock,Pennsylvania,18657,Wyoming,0,0,0,82,8,60,POINT (-75.963812 41.568522)
PHN Greenville Com Hlth Ctr,348 Main Street,Greenville,Pennsylvania,16125,Mercer,0,0,0,0,117,0,POINT (-80.378736 41.408391)
Custom Prescriptions of Lancaster,902 N Duke Street,Lancaster,Pennsylvania,17602,Lancaster,0,0,0,3,3,0,POINT (-76.30621 40.05145)
UPMC-Horizon Transitional Care-Shenango,2200 Memorial Drive,Farrell,Pennsylvania,16121,Mercer,1,0,0,0,25,0,POINT (-80.470677 41.209415)
PH-Penn Highlands Elk,763 Johnsonburg Rd,Saint Marys,Pennsylvania,15857,Elk,0,7,3,118,7,0,POINT (-78.576487 41.426298)
UPMC-CCP-Allegheny,604 Epsilon Drive,Pittsburgh,Pennsylvania,15238,Allegheny,0,0,0,0,164,300,POINT (-79.876571 40.499853)
Johnsons  Pharmaceut Srvs W Mifflin,2000 CLAIRTON RD,West Mifflin,Pennsylvania,15122,Allegheny,0,0,0,2,0,0,POINT (-79.936288 40.335236)
Childrens Prim Cre Ctr CHP Oakland,3420 5th Avenue,Pittsburgh,Pennsylvania,15213,Allegheny,0,0,0,3376,306,299,POINT (-79.961387 40.439673)
Union Community Care-Brightside,515-B Hershey Ave,Lancaster,Pennsylvania,17603,Lancaster,0,0,0,0,201,0,POINT (-76.31541 40.023753)
Armstrong Primary Care Ctr-Elderton,116 Main Street Box 148,Elderton,Pennsylvania,15736,Armstrong,0,0,0,2,0,0,
Nemours DuPont Pediatrics-Villanova,789 East Lancaster Avenue,Villanova,Pennsylvania,19085,Delaware,0,0,0,0,511,198,POINT (-75.350869 40.036235)
FPC-Valley View Family Practice Center,105 W Main Street,Valley View,Pennsylvania,17983,Schuylkill,0,0,0,3,0,0,POINT (-76.520364 40.647776)
Amudipes Behavioral Health,59 East Baltimore Avenue,Clifton Heights,Pennsylvania,19018,Delaware,0,0,0,1373,847,1478,POINT (-75.295526 39.929875)
Aria Health-Bucks,380 N Oxford Valley Road,Langhorne,Pennsylvania,19047,Bucks,0,0,0,48,1170,3348,POINT (-74.870047 40.180141)
Troy Laurel Health Center,45 Mudcreek Rd,Troy,Pennsylvania,16947,Bradford,0,0,0,146,127,50,POINT (-76.791918 41.750616)
Dialysis Clinic Inc-Pittsburgh,3412 Babcock Boulevard,Pittsburgh,Pennsylvania,15237,Allegheny,0,0,0,1,0,0,POINT (-80.023408 40.538434)
Reynolds Pharmacy,3676 N HERMITAGE RD,Transfer,Pennsylvania,16154,Mercer,0,0,0,619,448,230,POINT (-80.413328 41.331152)
Primary Care South,1000 Waterdam Plaza Dr,Mc Murray,Pennsylvania,15317,Washington,0,0,0,559,144,245,POINT (-80.134323 40.263338)
MOUNT NITTANY MEDICAL CENTER,PHARMACY DEPT 1800 EAST PARK AVENUE,State College,Pennsylvania,16803,Centre,0,14,0,77,9,6,
VDI-DANVILLE PHARMACY,439 MILL ST,Danville,Pennsylvania,17821,Montour,8,1,0,207,35,785,POINT (-76.617906 40.96172)
WellSpan Fam Med Mercersburg,2 Keefer Drive,Mercersburg,Pennsylvania,17236,Franklin,0,0,0,0,100,0,POINT (-77.900017 39.839897)
Penn Highlands DuBois,100 Hospital Ave,Du Bois,Pennsylvania,15801,Clearfield,1,0,0,1,84,0,POINT (-78.775736 41.114349)
Bedford County SHC,130 Vondersmith Avenue,Bedford,Pennsylvania,15522,Bedford,0,0,0,0,0,50,POINT (-78.506828 40.016477)
Wellspan Family Medicine-Roosevelt Ave,1401 Roosevelt Avenue,York,PA,17404,York,0,0,0,11,0,0,POINT (-76.758734 39.97938)
PSHMG All About Children,655 Walnut Street,West Reading,Pennsylvania,19611,Berks,0,0,0,82,0,0,POINT (-75.948225 40.338118)
Lincoln University-Health Services,1570 Baltimore Pike Wellness Center,Lincoln University,Pennsylvania,19352,Chester,0,0,0,19,0,9,
UPMC CCP S Hills Ped Assoc Mon Vlly,100 Stoops Drive,Monongahela,Pennsylvania,15063,Washington,0,52,0,1715,90,207,POINT (-79.923581 40.162833)
HAZELWOOD FAMILY HEALTH CENTER,4918 2ND AVE,Pittsburgh,Pennsylvania,15207,Allegheny,0,0,0,0,93,79,POINT (-79.943915 40.409345)
PPCP-Purighalla Bower Hill Road,1050 Bower Hill Road,Pittsburgh,Pennsylvania,15243,Allegheny,0,0,0,0,31,0,POINT (-80.06688 40.376831)
FPC-Mill Hall Family Practice Center,7133 Nittany Valley Drive,Mill Hall,Pennsylvania,17751,Clinton,0,0,0,0,1,0,POINT (-77.489442 41.064719)
Temple Fam Med Fort Washingt,515 Pennsylvania Avenue,Fort Washington,Pennsylvania,19034,Montgomery,0,0,0,0,37,400,POINT (-75.206327 40.134534)
John Manubay MD LLC,4400 Penn Ave,Sinking Spring,Pennsylvania,19608,Berks,0,79,0,101,15,640,POINT (-76.031461 40.326174)
FPC-Herndon Family Practice Center,1244 State Route 225,Herndon,Pennsylvania,17830,Northumberland,0,0,0,3,255,0,POINT (-76.830477 40.665965)
Penn Highlands Community Pharmacy,621 S. Main St.,Du Bois,Pennsylvania,15801,Clearfield,0,0,0,2,0,0,POINT (-78.773334 41.113896)
MHEDS-PEACH ST,2928 Peach Street,Erie,Pennsylvania,16508,Erie,0,0,0,180,36,0,POINT (-80.076407 42.107191)
Minnichs Pharmacy,976 S. George St,York,Pennsylvania,17403,York,0,254,0,5563,32,1029,POINT (-76.720984 39.947453)
Redstone Pharmacy,322 3rd St,California,Pennsylvania,15419,Washington,0,0,0,371,13,281,POINT (-79.890793 40.066566)
CHS ChesPenn Hlth Srvs Upper Darby,5 S STATE RD,Upper Darby,Pennsylvania,19082,Delaware,0,0,0,300,460,650,POINT (-75.270527 39.963687)
FPC-Hershey Family Practice Center,3003 Elizabethtown Road,Hershey,Pennsylvania,17033,Dauphin,0,0,0,0,7,0,POINT (-76.623498 40.235368)
AHN Ped Ped Ally Northlnd McKnight,4721 McKnight Road,Pittsburgh,Pennsylvania,15237,Allegheny,0,0,0,0,1325,0,POINT (-80.00488 40.518464)
Tower Health-Int Med Muhlenberg THMG,4201 Kutztown Road,Temple,Pennsylvania,19560,Berks,0,0,0,0,81,122,POINT (-75.919216 40.399147)
Security Family Medicine LLC,1930 Security Drive,York,Pennsylvania,17402,York,0,0,0,43,23,0,POINT (-76.698939 39.912045)
Wellspan Fam Med Plymouth Rd,1010 PLYMOUTH RD,York,Pennsylvania,17402,York,0,0,0,15,380,0,POINT (-76.666351 39.959724)
Functional Health Center-Phoenix Contact,586 Fulling Mill Rd,Middletown,Pennsylvania,17057,Dauphin,0,0,0,2,1,0,POINT (-76.75007 40.229379)
UPMC CCP Spring Grove,22 Roth Church Rd,Spring Grove,Pennsylvania,17362,York,0,0,0,44,518,48,POINT (-76.864591 39.88402)
GEISINGER WYOMING VALLEY,1000 EAST MOUNTAIN BLVD,WILKES BARRE,PENNSYLVANIA,18711,Luzerne,2,1,0,135,304,818,POINT (-75.811717 41.256997)
Pike County State Health Center,10 Buist Road,Milford,Pennsylvania,18337,Pike,0,0,0,24,44,0,POINT (-74.833275 41.334232)
Newtown Medical Group,1703 Langhorne Newtown Rd,Langhorne,Pennsylvania,19047,Bucks,0,0,0,76,18,0,POINT (-74.931399 40.215356)
Johnsons Pharmaceutical Srvs-W Mifflin,2000 CLAIRTON RD,West Mifflin,Pennsylvania,15122,Allegheny,0,0,0,1,0,0,POINT (-79.936288 40.335236)
SLUHHN-Sacred Heart Campus,421 Chew St,Allentown,Pennsylvania,18102,Lehigh,0,0,0,35,299,24,POINT (-75.468225 40.607936)
UPMC-Kane Community Hospital,4372 Rt 6,Kane,Pennsylvania,16735,McKean,6,0,0,21,56,252,POINT (-78.731025 41.673401)
The Washington Hospital,155 Wilson Ave,Washington,Pennsylvania,15301,Washington,0,0,0,31,5,48,POINT (-80.247471 40.183244)
Caring Com Hth Ctr Hazle Twp,426 Airport Road Beltway Commons,Hazleton,Pennsylvania,18202,Luzerne,0,0,0,2,49,766,
WMCHC Honesdale Pediatrics,1837 Fair Avenue,Honesdale,Pennsylvania,18431,Wayne,0,0,0,0,950,696,POINT (-75.262223 41.588625)
Pharmacy of Norristown,420 W. Marshall Street,Norristown,Pennsylvania,19401,Montgomery,0,0,0,169,0,706,POINT (-75.3484 40.119712)
AHN Ped Ped Allian Northlnd Cranb,20397 Route 19 Landmark 2 Building,Cranberry Twp,Pennsylvania,16066,Butler,0,0,0,0,169,0,POINT (-80.10431 40.693847)
Bellefonte Medical Clinic,Bellefonte Medical Clinic 527 Willowbank Street,Bellefonte,Pennsylvania,16823,Centre,0,0,0,73,37,120,
SLUHN-Anderson Campus Hospital,1872 St Luke Blvd Lower Level Pharmacy West Wing,Easton,Pennsylvania,18045,Northampton,19,5,0,152,61,0,
Springfield Pharmacy,1154 Baltimore Pike,Springfield,Pennsylvania,19064,Delaware,0,0,0,11,3033,661,POINT (-75.346745 39.913764)
Luzerne County SHC,142 Mundy St,Wilkes Barre,Pennsylvania,18702,Luzerne,0,0,0,154,1573,8,POINT (-75.854969 41.244517)
The Clinic,143 Church Street,Phoenixville,Pennsylvania,19460,Chester,0,0,0,41,4,0,POINT (-75.512689 40.133255)
Harrolds Pharmacy,250 Old River Road,Wilkes Barre,Pennsylvania,18702,Luzerne,1,10,0,1431,193,1426,POINT (-75.907849 41.241791)
SLUHN - Anderson Campus,1872 St Luke Blvd Lower Level Pharmacy West Wing,Easton,Pennsylvania,18045,Northampton,0,0,0,6,29,0,
Barclay M Wilson DO,130 South Front Street,Milton,Pennsylvania,17847,Northumberland,0,0,0,13,0,0,POINT (-76.856069 41.018111)
Holisticare Hospice LLC,685 KROMER AVE,Berwyn,Pennsylvania,19312,Chester,0,0,0,1,0,0,POINT (-75.44293 40.049083)
LGH-Abbeyville Family Medicine,101 Abbeyville Road,Lancaster,Pennsylvania,17603,Lancaster,0,0,0,20,858,56,POINT (-76.335502 40.035576)
Parvins Pharmacy,30 N Bryn Mawr Avenue,Bryn Mawr,Pennsylvania,19010,Delaware,1,0,0,0,0,0,POINT (-75.317334 40.021684)
Ware Medical Associates,2901 Dutton Mill Rd,Aston,Pennsylvania,19014,Delaware,0,0,0,0,10,0,POINT (-75.419824 39.857646)
Luzerne Cty Depart of Corrections,99 Water Street,Wilkes Barre,Pennsylvania,18702,Luzerne,0,0,0,0,103,23,POINT (-75.876306 41.254408)
AHN AC Primary Care Morningside,1748 Jancey Street,Pittsburgh,Pennsylvania,15206,Allegheny,0,0,0,67,0,30,POINT (-79.926669 40.485787)
VDI-City Drugs of Curwenville,360 THOMPSON ST,Curwensville,Pennsylvania,16833,Clearfield,0,0,0,225,8,60,POINT (-78.527102 40.975514)
Fresenius Kidney Care West Pennsylvania,5124 Liberty Ave,Pittsburgh,Pennsylvania,15224,Allegheny,0,0,0,0,6,0,POINT (-79.942557 40.458215)
VHP Family Health Center,400 17th St,Allentown,Pennsylvania,18104,Lehigh,0,0,0,0,40,0,
Mats Pharmacy and Medical Supply,701 Bristol Pike,Croydon,Pennsylvania,19021,Bucks,0,0,0,0,1,10,POINT (-74.90732 40.093991)
Wellspan Family Med-Hlth Campus 1st Fl,12 St. Paul Drive,Chambersburg,Pennsylvania,17201,Franklin,0,0,0,11,0,0,POINT (-77.634763 39.943292)
UPMC CCP S Hills Ped Assoc Brentwod,4411 Stilley Road 1st Floor,Pittsburgh,Pennsylvania,15227,Allegheny,0,0,0,1326,108,140,POINT (-79.982348 40.361266)
Monvale Primary Care-Belle Vernon,800 Plaza Drive,Belle Vernon,Pennsylvania,15012,Fayette,0,0,0,0,11,0,POINT (-79.811385 40.188018)
LVPG-Fam and Internal Med Bethlehem Twp,2101 Emrick Blvd,Bethlehem (Part-Northampton),Pennsylvania,18020,Northampton,0,0,0,1,1,0,POINT (-75.290931 40.651956)
Oil City Dialysis Center LLC,6945 US Route 322,Oil City,Pennsylvania,16319,Venango,0,0,0,7,0,0,
Patient Care Pharmacy,422 S Duke Street,Lancaster,Pennsylvania,17602,Lancaster,0,0,0,334,15,1269,POINT (-76.3018 40.034179)
Wellspan Gettysburg Hospital Pharmacy,PHARMACY 147 GETTYS STREET,GETTYSBURG,PENNSYLVANIA,17325,Adams,0,0,0,29,0,0,
Select Specialty Hospital-Central PA,503 N 21st street 5th floor,Camp Hill,Pennsylvania,17011,Cumberland,0,0,0,0,4,0,POINT (-76.923468 40.25141)
Union County SHC,1610 Industrial Blvd.,Lewisburg,Pennsylvania,17837,Union,0,0,0,58,0,0,POINT (-76.903139 40.960266)
Horsham Pharmacy LLC,316 Horsham Road Suite E,Horsham,Pennsylvania,19044,Montgomery,30,0,0,3217,763,269,POINT (-75.135545 40.181869)
VaxCare-Hometn Hth Cre of NEPA Inc,921 Drinker Turnpike,Moscow,Pennsylvania,18444,Lackawanna,0,0,0,0,39,35,POINT (-75.514251 41.310339)
VDI-Salem Crossroads Apothecary,195 B Sheffield Dr,Delmont,Pennsylvania,15626,Westmoreland,0,0,0,0,362,0,POINT (-79.571406 40.395141)
Keystone Agricul Wrker Prog Read.,1981 State Hill Rd,Reading,Pennsylvania,19610,Berks,0,0,0,7,118,40,POINT (-75.975474 40.338785)
Scranton Prim Hlth Cre Cntr Alder,425 ALDER ST,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,3,25,220,POINT (-75.665979 41.399796)
Loysville Youth Development Center,10 Opportunity Drive,Loysville,Pennsylvania,17047,Perry,0,0,0,0,33,385,POINT (-77.347314 40.3688)
Cornerstone Care-Rogersville,140 Church Street PO Box 440,Rogersville,Pennsylvania,15359,Greene,0,0,0,98,23,320,POINT (-80.25105 40.17377)
SCI-Fayette,50 overlook drive,Labelle,Pennsylvania,15450,Fayette,0,0,0,0,33,250,POINT (-79.988305 39.998141)
Woodlyn Pharmacy,1301 Jefferson Avenue,Woodlyn,Pennsylvania,19094,Delaware,0,0,0,0,15,691,POINT (-75.343924 39.874835)
AHN AC IM WPC Internl Medi Ligonier,1869 Route 30,Ligonier,PA,156589239,Westmoreland,0,0,0,0,0,5,POINT (-79.229688 40.236676)
Dushore Pharmacy,218 S. German St. PO BOX 314,Dushore,Pennsylvania,18614,Sullivan,0,0,0,135,819,786,POINT (-76.401747 41.522866)
Wellspan Fam Med Valley Green,1790 Old Trail Road,Etters,Pennsylvania,17319,York,0,0,1,0,185,6,POINT (-76.80732 40.138429)
FPC Selinsgrove 2 Fam Pract Cntr,21 Susquehanna Valley Mall Drive,Selinsgrove,Pennsylvania,17870,Snyder,0,0,0,0,145,0,POINT (-76.84902 40.829356)
Penn St Milton S Hershey Med Ctr,500 University Drive,Hershey,Pennsylvania,17033,Dauphin,0,0,0,41,64,0,POINT (-76.674557 40.265932)
The Prcter n Gmble Papr Prod Comp,5188 Rt 87,Mehoopany,Pennsylvania,18629,Wyoming,0,0,0,150,29,195,
Joseph Lamantia DO PC,1690 Saltsburg Avenue,Indiana,Pennsylvania,15701,Indiana,0,0,0,0,115,0,POINT (-79.172871 40.611386)
WellSpan Intl Med Scotland Ave,2055 Scotland Ave,Chambersburg,Pennsylvania,17201,Franklin,0,0,0,80,664,144,POINT (-77.632597 39.957636)
AHN-AC FM PRIME MEDICAL GROUP-Bella Vernon,1533 BROAD AVENUE Ext,Belle Vernon,Pennsylvania,15012,Fayette,0,0,0,9,29,42,
Spartansburg Medical Center,132 Mechanic Street PO Box 211,Spartansburg,Pennsylvania,16434,Crawford,0,0,0,74,789,555,POINT (-79.687348 41.823333)
Penn St Hlth Cmty Vax Site Dauphin,30 E Granada Ave,Hershey,Pennsylvania,17033,Dauphin,0,0,0,18,640,0,POINT (-76.646713 40.285077)
AHN-Canonsburg Hospital,100 Medical Blvd,Canonsburg,Pennsylvania,15317,Washington,0,2,0,1017,831,397,POINT (-80.190434 40.248477)
Family First Health-Columbia Center,369 Locust Street 1st Floor,Columbia,Pennsylvania,17512,Lancaster,0,0,0,195,47,0,POINT (-76.501264 40.032778)
Pottstown Hlth Center-Montgom Cnty,364 King Street,Pottstown,Pennsylvania,19464,Montgomery,0,0,0,1199,107,1023,POINT (-75.645012 40.246054)
PHN-Petroleum Valley Medical Center,296 Church Street,Petrolia,Pennsylvania,16050,Butler,0,0,0,5,203,0,POINT (-79.717555 41.021174)
West Perry Pharmacy,1102 MONTOUR ROAD,Loysville,Pennsylvania,17047,Perry,0,0,0,145,130,100,POINT (-77.339077 40.364064)
The Wright Cntr for Comm Hlth,103 Spruce Street,Hawley (Part-Wayne),Pennsylvania,18428,Pike,0,0,0,0,27,210,POINT (-75.182246 41.482016)
Advocate Pharmacy,535 S BROAD ST,Lansdale,Pennsylvania,19446,Montgomery,0,0,0,0,256,0,POINT (-75.290342 40.234888)
Vanguard PA,3222 Phoenixville Pike CrewCare,Malvern,Pennsylvania,19355,Chester,0,0,0,0,151,80,POINT (-75.547573 40.075067)
SHMG Fam Med Residency Ctr,740 High Street,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,5,32,20,POINT (-77.016389 41.245347)
UPMC-CCA-WESTVIEW,1024 West View Park Drive,Pittsburgh,Pennsylvania,15229,Allegheny,0,0,0,270,40,0,POINT (-80.037027 40.516565)
The Hometown Pharmacy-Greensburg,730 E. Pittsburgh St,Greensburg,Pennsylvania,15601,Westmoreland,0,0,0,0,156,0,POINT (-79.527622 40.302481)
GIANT PHARMACY-6518,2350 SUSQUEHANNA ROAD,ROSLYN,PA,19001,Montgomery,0,0,0,225,1793,822,POINT (-75.134817 40.121946)
Hope Pharmacy,7050 Terminal Sq,Upper Darby,Pennsylvania,19082,Delaware,0,0,0,1,26,1,POINT (-75.26293 39.961451)
Genoa Healthcare-00135,378 W CHESTNUT ST,Washington,Pennsylvania,15301,Washington,0,0,0,31,52,0,POINT (-80.254028 40.171386)
Danville State Hospital,50 Kirkbride Drive,Danville,Pennsylvania,17821,Montour,0,0,0,96,75,104,POINT (-76.596428 40.948537)
Hershey Pharmacy and Gift Shop,731 Cherry Dr 2,Hershey,Pennsylvania,17033,Dauphin,0,0,0,25,0,0,POINT (-76.658617 40.271193)
AHN-AC IM PRMA 5375 WLM FL,5375 WILLIAM FLYNN HWY,Gibsonia,Pennsylvania,15044,Allegheny,0,0,0,2,365,0,POINT (-79.944502 40.62001)
SCI-Cambridge Springs,451 Fullerton Avenue,Cambridge Springs,Pennsylvania,16403,Crawford,1,0,0,0,78,80,POINT (-80.056344 41.79885)
Giant Eagle Pharmacy-9,State Routes 30 & 66,Greensburg,Pennsylvania,15601,Westmoreland,0,0,0,17,236,0,
Janssen Springhouse,1400 McKean Road,Spring House,Pennsylvania,19477,Montgomery,0,0,0,4,22,0,
Dialysis Clinic Inc. Mount Pleasant,20 E MAIN ST,Mount Pleasant,Pennsylvania,15666,Westmoreland,0,0,0,15,0,0,POINT (-79.533853 40.147704)
WILKINSBURG FAMILY HEALTH CENTER,807 WALLACE AVE,Pittsburgh,Pennsylvania,15221,Allegheny,0,0,0,1,284,76,POINT (-79.881292 40.443465)
AFC Urgent Care Warrington,781 Easton Rd,Warrington,Pennsylvania,18976,Bucks,0,0,0,1216,394,0,POINT (-75.137276 40.233789)
Ctral Bucks Fam Prac PC Doylestwn,252 W Swamp Rd,Doylestown,Pennsylvania,18901,Bucks,0,0,0,0,49,0,POINT (-75.137638 40.333097)
