,Clinic_Name,Clinic_Street_Address,Clinic_City,Clinic_State,Clinic_Zip,County,Broken_Vial_Syringe,Vaccine_Drawn_But_Not_Administer,Lost_Or_Unaccounted_For_Vaccine,Open_Vial_But_Not_Administered,Other,Spoilage,Total Wastage,Georeferenced Latitude & Longitude
354,VDI Prim Cre Pharm Srvcs Inc,27 Heckel Road,Mc Kees Rocks,Pennsylvania,15136,Allegheny,0,34,0,42,4,100,180,-80.092812 40.472378
355,Punxsutawney Area Hospital,81 Hillcrest Drive,Punxsutawney,Pennsylvania,15767,Jefferson,0,0,0,0,13,0,13,-79.000359 40.960153
356,Custom Prescriptions of Lancaster,902 N Duke Street,Lancaster,Pennsylvania,17602,Lancaster,0,0,0,3,3,0,6,-76.30621 40.05145
357,East End Family Health Center,117 N Negley Avenue,Pittsburgh,Pennsylvania,15206,Allegheny,0,0,0,57,102,0,159,-79.930372 40.464031
358,VDI-Curtis Pharmacy-Washington,575 Henderson Ave,Washington,Pennsylvania,15301,Washington,0,0,0,16,0,0,16,-80.267317 40.191814
359,SCI-Greene,169 Progress Dr.,Waynesburg,Pennsylvania,15370,Greene,0,0,0,0,4,160,164,-80.13795 39.900674
360,UPMC-Horizon Transitional Care-Shenango,2200 Memorial Drive,Farrell,Pennsylvania,16121,Mercer,1,0,0,0,25,0,26,-80.470677 41.209415
361,AFC Urgent Care Havertown,115 W. Eagle Rd,Havertown,Pennsylvania,19083,Delaware,0,0,0,249,1,798,1048,-75.314413 39.985529
362,Union Medical-Water Street,304 North Water Street,Lancaster,Pennsylvania,17603,Lancaster,0,0,0,0,6,0,6,-76.309347 40.042516
363,PHN-Ellwood City Health Center,304 Evans Drive,Ellwood City,Pennsylvania,16117,Lawrence,0,0,0,1,16,1,18,-80.275909 40.868201
364,MacDonalds Pharmacy,214 Peach Orchard Road,Mc Connellsburg,Pennsylvania,17233,Fulton,0,0,0,174,39,40,253,-78.009 39.936716
365,Lanap and Implant Ctr of PA,184 West Main Street Bldg 200,Collegeville,Pennsylvania,19426,Montgomery,0,0,0,0,0,26,26,-75.46951 40.195953
366,GIANT PHARMACY-6097,1250 COCOA AVENUE,HERSHEY,PA,17033,Dauphin,0,0,0,23,480,0,503,-76.64787 40.269063
367,CHOP Care Network-Coatesville,495 Highlands Blvd,Coatesville,Pennsylvania,19320,Chester,0,0,0,0,426,0,426,-75.867419 39.991878
368,GIANT PHARMACY-6267,44 NATURAL SPRINGS ROAD,GETTYSBURG,PA,17325,Adams,0,0,0,29,480,24,533,-77.20783 39.837958
369,Diamond Drugs Inc dba Dia Pharm Svc,645 Kolter Drive,Indiana,Pennsylvania,15701,Indiana,0,0,0,0,942,0,942,-79.17264 40.608775
370,East Suburban Pedi-Monroeville,2566 Haymaker Road,Monroeville,Pennsylvania,15146,Allegheny,0,0,0,11,26,0,37,-79.751285 40.428239
371,Armstrong Primary Care Ctr-Elderton,116 Main Street Box 148,Elderton,Pennsylvania,15736,Armstrong,0,0,0,2,0,0,2,
372,Nemours DuPont Pediatrics-Villanova,789 East Lancaster Avenue,Villanova,Pennsylvania,19085,Delaware,0,0,0,0,46,198,244,-75.350869 40.036235
373,WellSpan Family Medicine-Stonebridge,13515 Wolfe Rd,New Freedom,PA,17349,York,0,0,0,19,0,0,19,-76.662289 39.774663
374,KRHC-Ridgway Medical Center,49 Ridgmont Dr,Ridgway,Pennsylvania,15853,Elk,0,0,0,212,19,229,460,-78.743844 41.43532
375,FPC-Valley View Family Practice Center,105 W Main Street,Valley View,Pennsylvania,17983,Schuylkill,0,0,0,3,0,0,3,-76.520364 40.647776
376,Elizabeth A Gernhardt DO Fam Prac,1732 Wyoming Avenue,Forty Fort,Pennsylvania,18704,Luzerne,0,0,0,0,265,200,465,-75.863524 41.296788
377,CHOP Care Network-Chadds Ford,1766 Wilmington Pike,Glen Mills,Pennsylvania,19342,Delaware,0,0,0,0,534,0,534,-75.544689 39.873551
378,AHOLD USA-GIANT PHARMACY-6333,901 S WEST END BOULEVARD,QUAKERTOWN,PA,18951,Bucks,0,0,0,13,314,0,327,-75.345596 40.420719
379,Dialysis Clinic Inc-Pittsburgh,3412 Babcock Boulevard,Pittsburgh,Pennsylvania,15237,Allegheny,0,0,0,1,0,0,1,-80.023408 40.538434
380,AHN SVMG WESTMINSTER FAM PRAC,3822 Colonial Ave.,Erie,Pennsylvania,16506,Erie,0,0,0,0,5,0,5,-80.15696 42.068534
381,UPMC Passavant Cranberry,1 St Francis Way,Cranberry Twp,Pennsylvania,16066,Butler,1,1,0,116,45,39,202,
382,WellSpan Fam Med-East Berlin,105 Fourth Street,East Berlin,PA,17316,Adams,0,0,0,0,168,0,168,-76.983643 39.938133
383,Fresenius Kidney Cre Sth Allentwn,2820 Mitchell Ave.,Allentown,Pennsylvania,18103,Lehigh,0,0,0,2,0,0,2,-75.481033 40.560689
384,Guthrie Pediatric Center-Sayre,1011 North Elmer Avenue,Sayre,Pennsylvania,18840,Bradford,0,0,0,0,23,0,23,-76.528325 41.995984
385,GIANT PHARMACY-6330,301 TOWN CENTER BLVD,EASTON,PA,18040,Northampton,0,0,0,21,694,36,751,-75.221014 40.712285
386,Margiotti and Kroll Pedia Newtwn,671 Newtown-Yardley Rd.,Newtown,Pennsylvania,18940,Bucks,0,0,0,0,258,740,998,-74.920435 40.229428
387,AHN-AC Crafton Medical Associates,1 Walsh Road Crafton-Ingram Shopping Center,Pittsburgh,Pennsylvania,15205,Allegheny,0,0,0,0,5,0,5,
388,Vcare Discount Pharmacy,108 South 5th Street,Reading,Pennsylvania,19602,Berks,0,0,0,25,980,397,1402,-75.927944 40.333257
389,Penn Highlands DuBois,100 Hospital Ave,Du Bois,Pennsylvania,15801,Clearfield,1,0,0,1,84,0,86,-78.775736 41.114349
390,Penn State Health Cmty Vax Site-Berks,2400 Bernville Road,Reading,Pennsylvania,19605,Berks,32,6,0,54,5,0,97,-75.970548 40.374401
391,Family First Health-George Street Center,116 South George Street,York,Pennsylvania,17401,York,1,0,0,50,41,0,92,-76.726805 39.960757
392,Lehigh Family and Geriatric Associates,428 South 7th Street,Lehighton,Pennsylvania,18235,Carbon,0,0,0,8,48,0,56,-75.717784 40.8267
393,Trilogy Mission Rx LLC dba PCA Pbg,307 23rd Street Extension,SHARPSBURG,Pennsylvania,15215,Allegheny,0,0,0,23,47,0,70,-79.910239 40.495161
394,Liberty Dialysis-Hopewell,400 Corporation Drive,Aliquippa,Pennsylvania,15001,Beaver,0,0,0,0,0,1,1,-80.271266 40.560637
395,My Care Now LLC,90 Beaver Drive Building C,Du Bois,Pennsylvania,15801,Clearfield,0,0,0,0,18,0,18,-78.749069 41.122792
396,Abraxas Leadership Dev Program,10058 South Mountain Road PO Box 354,South Mountain,Pennsylvania,17261,Franklin,0,0,0,0,1,0,1,
397,Exeter Township Health Center,2795 Sullivans Trail,Falls,Pennsylvania,18615,Wyoming,3,0,0,14,12,649,678,-75.857327 41.445341
398,FPC-Mill Hall Family Practice Center,7133 Nittany Valley Drive,Mill Hall,Pennsylvania,17751,Clinton,0,0,0,0,1,0,1,-77.489442 41.064719
399,GIANT PHARMACY-6262,328 CHURCH STREET,DANVILLE,PA,17821,Montour,0,0,0,0,916,0,916,-76.614187 40.961263
400,Diamond Drugs Inc dba Diamond Pharm Svc,645 Kolter Drive,Indiana,Pennsylvania,15701,Indiana,0,0,0,0,102,0,102,-79.17264 40.608775
401,Penn Highlands Community Pharmacy,621 S. Main St.,Du Bois,Pennsylvania,15801,Clearfield,0,0,0,2,0,0,2,-78.773334 41.113896
402,Family Pharmacy of  Jessup,128 Constitution Ave,Jessup,Pennsylvania,18434,Lackawanna,0,0,0,0,13,182,195,-75.573827 41.476213
403,AHOLD USA-GIANT PHARMACY 6448,180 UPLAND SQ DR,STOWE,PA,19464,Montgomery,0,0,0,401,517,0,918,-75.65366 40.267867
404,McCracken Pharmacy,595 east high street,Waynesburg,Pennsylvania,15370,Greene,0,0,0,0,161,0,161,-80.179359 39.896359
405,FPC-Hershey Family Practice Center,3003 Elizabethtown Road,Hershey,Pennsylvania,17033,Dauphin,0,0,0,0,7,0,7,-76.623498 40.235368
406,PHN-Sharon Medical Group-Suite 2,63 Pitt St,Sharon,Pennsylvania,16146,Mercer,2,0,0,31,58,0,91,-80.507917 41.23373
407,Wellspan Fam Med Granite Run,264 Granite Run Drive,Lancaster,Pennsylvania,17601,Lancaster,0,0,0,13,20,0,33,-76.332226 40.075783
408,MLHC-Urgent Care at Exton Square,154 Exton Square Parkway Exton Square Mall,Exton,PA,19341,Chester,0,0,0,0,76,0,76,
409,Functional Health Center-Phoenix Contact,586 Fulling Mill Rd,Middletown,Pennsylvania,17057,Dauphin,0,0,0,2,1,0,3,-76.75007 40.229379
410,AHOLD USA-GIANT PHARMACY-6083,539 N OAK AVENUE,ALDAN,PA,19018,Delaware,0,0,0,35,670,0,705,-75.305801 39.932791
411,MARTINS PHARMACY-6308,1570 OAKLAND AVE,Indiana,Pennsylvania,15701,Indiana,0,0,0,23,579,0,602,-79.172406 40.614732
412,Cornerstone Care-Greensboro,7 Glassworks Road,Greensboro,Pennsylvania,15338,Greene,0,0,0,15,156,0,171,-79.913819 39.801116
413,Heritage Valley Health System-Beaver,1000 Dutch Ridge Road,Beaver,Pennsylvania,15009,Beaver,8,13,0,20,19,0,60,-80.324352 40.710345
414,Cornrste Cre Com Hth Ctr Burgettstn,1227 Smith Township State Road,Burgettstown,Pennsylvania,15021,Washington,0,0,0,0,6,0,6,-80.358781 40.323946
415,Johnsons Pharmaceutical Srvs-W Mifflin,2000 CLAIRTON RD,West Mifflin,Pennsylvania,15122,Allegheny,0,0,0,1,0,0,1,-79.936288 40.335236
416,Chester County Health Dept,601 Westtown Road Personal Health Service,West Chester,Pennsylvania,19382,Chester,18,17,0,936,110,0,1081,-75.584731 39.957921
417,Norland Avenue Pharmacy,12 St. Paul Drive,Chambersburg,Pennsylvania,17201,Franklin,0,1,0,31,614,0,646,-77.634763 39.943292
418,Wellspan Family Medicine-Fairfield,4910A Fairfield Road,Fairfield,Pennsylvania,17320,Adams,0,0,0,12,61,0,73,-77.378584 39.780525
419,Oasis Lifecare LLC,1526 Martin Street,State College,Pennsylvania,16803,Centre,0,0,0,8,13,0,21,-77.891815 40.804844
420,Pittsburgh Family Practice-Lincoln,362 Lincoln Avenue,Pittsburgh,Pennsylvania,15202,Allegheny,0,0,0,17,110,0,127,-80.052248 40.493957
421,Geisinger Wyoming Valley,1000 EAST MOUNTAIN BLVD M.C. 34-06,Wilkes Barre,Pennsylvania,18711,Luzerne,173,0,0,100,0,255,528,-75.811717 41.256997
422,Village Shires Pharmacy,1464 Buck Road,Holland,Pennsylvania,18966,Bucks,0,0,0,13,877,134,1024,-74.955965 40.2036
423,AHN-Canonsburg Hospital,100 Medical Blvd,Canonsburg,Pennsylvania,15317,Washington,0,2,0,781,15,155,953,-80.190434 40.248477
424,Milstein Medical Group,1123 Woodward Drive,Greensburg,Pennsylvania,15601,Westmoreland,0,0,0,0,1,0,1,-79.572853 40.290127
425,Rehab at Shannondell,5000 Shannondell Drive,Audubon,Pennsylvania,19403,Montgomery,0,0,0,0,13,397,410,
426,Total Access Medical LLC W Chester Off,1450 E. Boot Rd.,West Chester,Pennsylvania,19380,Chester,0,0,0,35,1,6,42,-75.555576 39.990445
427,LCH Health and Community Services,731 West Cypress Street,Kennett Square,Pennsylvania,19348,Chester,0,0,0,26,188,0,214,-75.722913 39.844136
428,Triangle Pharmacy,89 S Main St,Mountain Top,Pennsylvania,18707,Luzerne,0,0,0,2,0,0,2,-75.890378 41.157237
429,Hiebers Pharmacy,3500 Fifth Ave Suite 101,Pittsburgh,Pennsylvania,15213,Allegheny,0,0,0,0,223,691,914,-79.960036 40.440635
430,Holisticare Hospice LLC,685 KROMER AVE,Berwyn,Pennsylvania,19312,Chester,0,0,0,1,0,0,1,-75.44293 40.049083
431,Guthrie Robert Packer Hospital,One Guthrie Square,Sayre,Pennsylvania,18840,Bradford,0,0,0,49,0,0,49,
432,Wellspan Fam Med West Cornwall,101 Fairview Circle,Lebanon,Pennsylvania,17042,Lebanon,0,0,0,1,115,0,116,-76.434564 40.282035
433,Hyndman Area Health Center Bedford,104 Railroad Street,Bedford,Pennsylvania,15522,Bedford,0,0,0,1,411,130,542,-78.503083 40.021975
434,WILSONS PHARMACY,4101 PENN AVE,Pittsburgh,Pennsylvania,15224,Allegheny,0,0,0,0,950,735,1685,-79.955101 40.46569
435,Parvins Pharmacy,30 N Bryn Mawr Avenue,Bryn Mawr,Pennsylvania,19010,Delaware,1,0,0,0,0,0,1,-75.317334 40.021684
436,Ware Medical Associates,2901 Dutton Mill Rd,Aston,Pennsylvania,19014,Delaware,0,0,0,0,10,0,10,-75.419824 39.857646
437,Family First Health-Gettysburg Center,Peebles Plaza 1275-17 York Road,Gettysburg,Pennsylvania,17325,Adams,0,0,0,15,0,0,15,
438,Palmer Pharmacy LLC,738 Little Deer Creek Valley Road,Russellton,Pennsylvania,15076,Allegheny,0,0,0,104,0,0,104,-79.833802 40.617588
439,SCI-Coal Township,1 Kelley Dr,Coal Township,Pennsylvania,17866,Northumberland,0,0,0,10,127,0,137,-76.555486 40.805884
440,Keystone Family Medicine Chambersburg,820 Fifth Avenue,Chambersburg,Pennsylvania,17201,Franklin,0,10,0,4,7,0,21,-77.645016 39.945085
441,Integrated Medical Group PC-Pine Grove,8 Oak Grove Road,Pine Grove,Pennsylvania,17963,Schuylkill,0,0,0,0,46,0,46,-76.395667 40.558478
442,SCI-Waymart,PO Box 256,Waymart,Pennsylvania,18472,Wayne,0,0,0,0,202,0,202,
443,Fresenius Kidney Care West Pennsylvania,5124 Liberty Ave,Pittsburgh,Pennsylvania,15224,Allegheny,0,0,0,0,6,0,6,-79.942557 40.458215
444,OAKSIDE CARE PHARMACY,440 LEHIGH ST,Reading,Pennsylvania,19601,Berks,0,0,0,294,26,464,784,-75.948219 40.354269
445,Mats Pharmacy and Medical Supply,701 Bristol Pike,Croydon,Pennsylvania,19021,Bucks,0,0,0,0,1,10,11,-74.90732 40.093991
446,Wellspan Family Med-Hlth Campus 1st Fl,12 St. Paul Drive,Chambersburg,Pennsylvania,17201,Franklin,0,0,0,11,0,0,11,-77.634763 39.943292
447,AHOLD USA-GIANT PHARMACY-6541,176 West Street Road,Feasterville Trevose,PA,19053,Bucks,0,0,0,15,217,0,232,-75.00797 40.153902
448,Lanc Pediatric Assoc-Willow Street,222 Willow Valley Lakes Dr,Willow Street,Pennsylvania,17584,Lancaster,0,0,0,0,6,0,6,-76.273722 39.986442
449,Patient Care Pharmacy,422 S Duke Street,Lancaster,Pennsylvania,17602,Lancaster,0,0,0,70,15,0,85,-76.3018 40.034179
450,Carlisle Pediatric Associates,804 Belvedere Street,Carlisle,Pennsylvania,17013,Cumberland,0,0,0,0,27,0,27,-77.204443 40.188535
451,LVPG-Fam and Internal Med Bethlehem Twp,2101 Emrick Blvd,Bethlehem (Part-Northampton,Pennsylvania,18020,Northampton,0,0,0,1,1,0,2,-75.290931 40.651956
452,Hyde Drug Store,2412 Wilmington Rd,New Castle,Pennsylvania,16105,Lawrence,0,0,0,11,191,0,202,-80.353731 41.026174
453,Danville State Hospital,50 Kirkbride Drive,Danville,Pennsylvania,17821,Montour,0,0,0,14,0,0,14,
454,Astis South Hills Pharmacy Retail,250 MOUNT LEBANON BLVD,Pittsburgh,Pennsylvania,15234,Allegheny,0,0,0,11,338,0,349,-80.03749 40.368461
455,Compliance Navig Specs DBA CNS Occ,38 Copperfield Cir,Lititz,Pennsylvania,17543,Lancaster,0,0,0,75,158,0,233,-76.307908 40.173835
456,Preferd Prim Cre Phys PPCP,701 Technology Dr MANOR OAK II,Canonsburg,Pennsylvania,15317,Washington,0,0,0,2,8,0,10,
457,Select Specialty Hospital-Central PA,503 N 21st street 5th floor,Camp Hill,Pennsylvania,17011,Cumberland,0,0,0,0,4,0,4,-76.923468 40.25141
458,FPC-Herndon Family Practice Center,1244 State Route 225,Herndon,Pennsylvania,17830,Northumberland,0,0,0,3,64,0,67,-76.830521 40.666074
459,Cornerstone Cre Ped Cntr of Was,400 JEFFERSON AVE,Washington,Pennsylvania,15301,Washington,0,0,0,251,0,100,351,-80.25578 40.175301
460,Impact Health,1009 W 9th Ave Suite A,King of Prussia,Pennsylvania,19406,Montgomery,0,33,0,111,15,474,633,-75.413552 40.101151
461,Loysville Youth Development Center,10 Opportunity Drive,Loysville,Pennsylvania,17047,Perry,0,0,0,0,33,0,33,-77.347314 40.3688
462,GIANT PHARMACY-6534,4930 EDGEMONT AVE,BROOKHAVEN,PA,19015,Delaware,0,1,0,1021,857,259,2138,-75.396231 39.877768
463,Tri-County Pediatrics Southampton,729 Grove Avenue,Southampton,Pennsylvania,18966,Bucks,0,0,0,0,234,459,693,-75.045071 40.175966
464,AHN AC FM Allegheny Twp Med Assoc,62 Greenbriar Drive,Leechburg,Pennsylvania,15656,Armstrong,0,0,0,35,5,0,40,-79.612927 40.610944
465,Healthy Starts Pediatrics,845 Sir Thomas Court,Harrisburg,Pennsylvania,17109,Dauphin,0,0,0,22,43,10,75,-76.821274 40.282371
466,Medicine Shoppe Pharmacy-353,2665 Brodhead Road,Aliquippa,Pennsylvania,15001,Beaver,0,0,0,0,56,0,56,-80.281141 40.604942
467,Jennersville Hospital LLC,1015 West Baltimore Pike ATTN Employee Health,West Grove,Pennsylvania,19390,Chester,0,0,0,6,102,19,127,-75.887918 39.822744
468,VILLAGE PHARMACY AT SPRING HOUSE,1121 N. Bethlehem Pike,Spring House,Pennsylvania,19477,Montgomery,0,0,0,10,36,5,51,-75.22502 40.189842
469,WellSpan Ped Medic East Market,2003 East Market Street,York,Pennsylvania,17402,York,0,0,0,5,36,0,41,-76.687953 39.97352
470,Aria Health-Bucks,380 N Oxford Valley Road,Langhorne,Pennsylvania,19047,Bucks,0,0,0,0,0,1170,1170,-74.870364 40.183428
471,DCI-Punxsutawney,158 Elmwood Dr,Punxsutawney,Pennsylvania,15767,Jefferson,0,0,0,1,2,0,3,-78.997381 40.961
472,DR MOLLY TROSTLE DO INTERNAL MEDICINE,881 Hills Plaza Dr,Ebensburg,Pennsylvania,15931,Cambria,0,0,0,1,155,0,156,-78.75919 40.469523
473,PHN-Mercer Primary Care,737 Greenville Road,Mercer,Pennsylvania,16137,Mercer,1,0,0,0,114,0,115,-80.247945 41.247872
474,Health Services Pharmacy,1201 Grampian Blvd,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,56,6,0,62,-76.983321 41.260631
475,Mikes Pharmacy,211 W. Washington Ave.,Myerstown,Pennsylvania,17067,Lebanon,0,0,0,0,1,0,1,-76.309949 40.376283
476,MARTINS PHARMACY-6325,22 HOOVER AVENUE,DUBOIS,PA,15801,Clearfield,0,0,0,314,26,0,340,-78.756212 41.120936
477,Main Line Health-Riddle Memorial Hospital,1068 W. BALTIMORE PIKE PHARMACY DEPARTMENT,Media,Pennsylvania,19063,Delaware,0,0,0,6,19,0,25,-75.429889 39.914319
478,GIANT PHARMACY-6513,1925 NORRISTOWN ROAD,MAPLE GLEN,PA,19002,Montgomery,0,0,0,0,193,223,416,-75.181902 40.179139
479,PHN Schuylkill Comm Hlth Ctr,210 Sunbury Street,Minersville,Pennsylvania,17954,Schuylkill,0,0,0,21,84,0,105,-76.261083 40.691073
480,Harleysville Medical Associates,176 Main Street,Harleysville,Pennsylvania,19438,Montgomery,0,0,0,1,3,0,4,-75.368897 40.262629
481,Keystone Fam Med Chambersburg,820 Fifth Avenue,Chambersburg,Pennsylvania,17201,Franklin,0,0,0,224,32,0,256,-77.645016 39.945085
482,LGH-Abbeyville Family Medicine,101 Abbeyville Road,Lancaster,Pennsylvania,17603,Lancaster,0,0,0,2,46,0,48,-76.335501 40.035558
483,Kennies Pharmacy-Littlestown,520 W. King street,Littlestown,Pennsylvania,17340,Adams,0,0,0,9,79,2,90,-77.098593 39.743012
484,SLUHHN-Sacred Heart Campus,421 Chew St,Allentown,Pennsylvania,18102,Lehigh,0,0,0,15,194,0,209,-75.468045 40.607987
485,VDI-Mainline Pharmacy-Cresson,1207 2ND ST,Cresson,Pennsylvania,16630,Cambria,0,0,0,0,70,130,200,-78.591485 40.460137
486,AHN-SVMG Corry,315 York Street Corry,Corry,Pennsylvania,16407,Erie,0,0,0,0,37,0,37,-79.652715 41.923926
487,Giant Eagle Pharmacy LTC #0249,6204 State Route 30 Suite A,Greensburg,Pennsylvania,15601,Westmoreland,0,0,0,4,0,0,4,-79.592831 40.305646
488,VDI-Northern Bedford Pharmacy,3499 Brumbaugh Rd,New Enterprise,Pennsylvania,16664,Bedford,0,0,0,9,238,0,247,-78.417164 40.16967
489,PHS UPMC Pinncle Carlisle Emp Hlth,361 Alexander Spring Rd,Carlisle,Pennsylvania,17015,Cumberland,0,6,0,125,108,0,239,-77.223007 40.184767
490,AHN Fam Hlthcre Partners Mercer,400 West Butler Street,Mercer,Pennsylvania,16137,Mercer,0,0,0,6,0,0,6,-80.244309 41.225312
491,SCI-Pine Grove,189 Fyock Rd,Indiana,Pennsylvania,15701,Indiana,0,0,0,7,41,200,248,-79.102396 40.647316
492,Wellspan Ped Medic Shrewsbry,15 Constitution Ave,Shrewsbury,Pennsylvania,17361,York,0,0,0,0,9,54,63,-76.678842 39.753372
493,SHREE ANJANEYA LLC,801 W MAIN ST,Lansdale,Pennsylvania,19446,Montgomery,0,0,0,25,887,20,932,-75.292861 40.24705
494,PM LGHP-Family Medicine Red Rose,955 East King Street,Lancaster,Pennsylvania,17602,Lancaster,0,0,0,5,60,0,65,-76.284565 40.039976
495,Lancaster Health Center-Arch,304 North Water Street,Lancaster,Pennsylvania,17603,Lancaster,0,0,0,18,7,0,25,-76.309347 40.042516
496,AIDS Care Grp d/b/a Eddystone Comm Pha,1207B Chester Pike,Eddystone,Pennsylvania,19022,Delaware,2,0,0,0,0,0,2,-75.34728 39.863618
497,Towne Drugs,227 Commercial Ave,ASPINWALL,Pennsylvania,15215,Allegheny,0,30,0,329,36,88,483,-79.904015 40.49015
498,AK Steel Butler Works,1 Armco Drive Attn: Plant Manager,Lyndora,Pennsylvania,16045,Butler,0,0,0,7,211,0,218,-79.921488 40.84813
499,Suburban Community Hospital,2701 dekalb pk,Norristown,Pennsylvania,19401,Montgomery,0,0,0,4,280,0,284,-75.315289 40.138961
500,Norristown State Hospital,1001 Sterigere St,Norristown,Pennsylvania,19401,Montgomery,0,0,0,14,203,94,311,-75.348612 40.129411
501,Albion Pharmacy,9 East State Street,Albion,Pennsylvania,16401,Erie,0,0,0,0,376,0,376,-80.365963 41.890903
502,Dao Pharmacy Inc. (DBA Rios Pharmacy,35 South Morton Ave.,Morton,Pennsylvania,19070,Delaware,0,0,0,0,9,0,9,-75.328135 39.906825
503,SLUHN-Upper Bucks Campus,3000 St. Luke,Quakertown,Pennsylvania,18951,Bucks,0,0,0,0,225,0,225,
504,Geisinger Sys Svcs Pharm Distrib Ctr,212 Industrial Park Road,Elysburg,Pennsylvania,17824,Northumberland,0,0,0,1115,23,0,1138,-76.569434 40.852282
505,Keystone Agricul Wrker Prog Read.,145 North 6th St.,Reading,Pennsylvania,19601,Berks,0,0,0,7,51,0,58,-75.925814 40.338125
506,Community Volunteers in Medicine,300B Lawrence Drive,West Chester,Pennsylvania,19380,Chester,0,0,0,86,93,0,179,-75.586625 39.982553
507,LGH-Manheim Family Medicine,700 Lancaster Road,Manheim,Pennsylvania,17545,Lancaster,0,0,0,19,79,0,98,-76.381346 40.149634
508,Hyndman Area Health Center-Johnstown,203 College Park Plaza,Johnstown,Pennsylvania,15904,Cambria,0,0,0,0,9,0,9,-78.8488 40.276966
509,Bucks Family Medicine,2346 Trenton Road,Levittown,Pennsylvania,19056,Bucks,0,0,0,0,46,0,46,-74.883012 40.163569
510,Comprehensive Hlth Srvs Lehigh Valley,1627 Chew St 3rd Floor Green Elevator,Allentown,Pennsylvania,18102,Lehigh,0,0,0,11,2,0,13,
511,Advocare Broomall Peds-West Chester,1246 West Chester Pike,West Chester,Pennsylvania,19382,Chester,0,0,0,89,50,0,139,-75.557211 39.968163
512,Dallastown Medical Associates LLP,1010 Blymire Road,Dallastown,Pennsylvania,17313,York,0,0,0,42,92,0,134,-76.647682 39.888037
513,Perry Drug Store,301 INDEPENDENCE STREET PO BOX 314,Perryopolis,Pennsylvania,15473,Fayette,0,0,0,0,59,127,186,-79.750317 40.087084
514,Luzerne County SHC,142 Mundy St,Wilkes Barre,Pennsylvania,18702,Luzerne,0,0,0,69,903,0,972,-75.854969 41.244517
515,Indiana University of PA Hlth Srvc,901 Maple Street,Indiana,Pennsylvania,15705,Indiana,0,0,0,129,0,98,227,-79.157875 40.614684
516,Clarks Summit State Hospital,1451 Hillside Drive,Clarks Summit,Pennsylvania,18411,Lackawanna,0,0,0,0,37,0,37,-75.73559 41.484494
517,GIANT PHARMACY-6304,4211 UNION DEPOSIT RD,HARRISBURG,PA,17111,Dauphin,0,0,0,61,565,65,691,-76.816096 40.278885
518,GEISINGER-LEWISTOWN HOSPITAL,400 Highland Ave Pharmacy Dept. 6th floor,Lewistown,Pennsylvania,17044,Mifflin,1,0,0,99,156,479,735,-77.567402 40.617853
519,Brockie Pharmatech,209 N. Beaver St.,York,Pennsylvania,17401,York,0,0,0,33,429,78,540,-76.731123 39.964709
520,Metro Community Health Center,1789 South Braddock  Avenue,Pittsburgh,Pennsylvania,15218,Allegheny,0,1,0,158,184,0,343,-79.889539 40.426164
521,Marcus Hook Pharmacy,46 E 10th Street,Marcus Hook,Pennsylvania,19061,Delaware,0,0,0,24,51,369,444,-75.415915 39.82036
522,West Perry Pharmacy,1102 MONTOUR ROAD,Loysville,Pennsylvania,17047,Perry,0,0,0,0,0,100,100,-77.339076 40.364063
523,Integrated Med Grp PC Green Hills,1903 Morgantown Road,Reading,Pennsylvania,19607,Berks,0,0,0,11,29,0,40,-75.923714 40.281153
524,RBJ ENT Inc The Med Shoppe 1094,132 West Mahoning Street,Punxsutawney,Pennsylvania,15767,Jefferson,0,0,0,2,0,0,2,-78.97215 40.943259
525,CHOP Care Network-Indian Valley,3456 Bethlehem Pike,Souderton,Pennsylvania,18964,Montgomery,0,0,0,359,11,18,388,-75.303799 40.315761
526,Care Options Rx,219 N Baltimore Ave,Mount Holly Springs,Pennsylvania,17065,Cumberland,0,0,0,0,0,200,200,-77.189596 40.117566
527,LGH-NORLANCO FAMILY MEDICINE,418 Cloverleaf  Rd,Elizabethtown,Pennsylvania,17022,Lancaster,0,0,0,39,113,2,154,-76.563318 40.133245
528,UPMC-Susquehanna Pediatrics,700 High Street 9th Floor,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,5,373,0,378,-77.014432 41.24547
529,LVPG Internal Medicine-Bartonsville,600 Commerce Blvd,Stroudsburg,Pennsylvania,18360,Monroe,0,0,0,0,13,80,93,-75.263401 40.998481
530,PHN-Schuylkill Community Health Center,210 Sunbury Street,Minersville,Pennsylvania,17954,Schuylkill,0,0,0,27,41,0,68,-76.261083 40.691073
531,GIANT PHARMACY-6050,2641 SHILLINGTON ROAD,READING,PA,19608,Berks,0,0,0,28,828,0,856,-75.999988 40.315464
532,Penn State Health Cmty Vax Site-Dauphin,30 E Granada Ave,Hershey,Pennsylvania,17033,Dauphin,17,0,0,26,117,120,280,-76.646724 40.284914
533,FPC-Millersburg Family Practice Center,100 1st St,Millersburg,Pennsylvania,17061,Dauphin,0,0,0,0,10,0,10,-76.962413 40.534461
534,SCI-Smithfield,1120 Pike Street P.O. Box 999,Huntingdon,Pennsylvania,16652,Huntingdon,0,0,0,16,108,2667,2791,-78.025804 40.488989
