"Age group","year","week","case_definition","White","Black/African American","American Indian","Asian/Pacific Islander","Multiracial","Hispanic","webDate"
"45-64",2022,14,"Completed vaccine series","67.9 %","84.8 %","65.4 %","91.8 %","67.7 %","79.7 %",2022-07-30
"19-44",2022,14,"Completed vaccine series","62.2 %","61.9 %","55 %","78.3 %","43.2 %","66 %",2022-07-30
"12-18",2022,14,"Completed vaccine series","53.7 %","55.6 %","54.6 %","86.5 %","30 %","57.7 %",2022-07-30
"12+",2022,14,"Completed vaccine series","70.7 %","69.6 %","61.2 %","84.7 %","45.4 %","68.4 %",2022-07-30
"65+",2022,13,"At least one vaccine dose","100 %","100 %","87.5 %","100 %","99.3 %","93.3 %",2022-07-30
"5-11",2022,13,"At least one vaccine dose","36.3 %","27.4 %","34.2 %","63.6 %","24.2 %","30.4 %",2022-07-30
"5+",2022,13,"At least one vaccine dose","70.5 %","68.6 %","62 %","86.5 %","42.6 %","67.3 %",2022-07-30
"45-64",2022,13,"At least one vaccine dose","69.8 %","89.9 %","69.7 %","95.9 %","70 %","84.5 %",2022-07-30
"19-44",2022,13,"At least one vaccine dose","65.7 %","69.3 %","61.6 %","83.7 %","46.4 %","73.1 %",2022-07-30
"12-18",2022,13,"At least one vaccine dose","56.1 %","62.7 %","60.7 %","90.9 %","31.9 %","63.2 %",2022-07-30
"12+",2022,13,"At least one vaccine dose","73.5 %","76.3 %","66.6 %","89.7 %","48.2 %","74.7 %",2022-07-30
"65+",2022,13,"Completed vaccine series","97.3 %","100 %","84.8 %","100 %","94.6 %","86.9 %",2022-07-30
"5-11",2022,13,"Completed vaccine series","33.8 %","22.4 %","27.4 %","57.9 %","22.1 %","26.1 %",2022-07-30
"5+",2022,13,"Completed vaccine series","67.6 %","62.1 %","56.3 %","81.5 %","39.9 %","61.3 %",2022-07-30
"45-64",2022,13,"Completed vaccine series","67.9 %","84.7 %","65.4 %","91.8 %","67.7 %","79.6 %",2022-07-30
"19-44",2022,13,"Completed vaccine series","62.1 %","61.7 %","54.9 %","78.3 %","43.1 %","66 %",2022-07-30
"12-18",2022,13,"Completed vaccine series","53.7 %","55.4 %","54.4 %","86.3 %","30 %","57.5 %",2022-07-30
"12+",2022,13,"Completed vaccine series","70.6 %","69.5 %","61.1 %","84.7 %","45.3 %","68.3 %",2022-07-30
"65+",2022,12,"At least one vaccine dose","100 %","100 %","87.5 %","100 %","99.3 %","93.2 %",2022-07-30
"5-11",2022,12,"At least one vaccine dose","36.2 %","27.2 %","33.9 %","63.2 %","24.1 %","30.2 %",2022-07-30
"5+",2022,12,"At least one vaccine dose","70.4 %","68.5 %","61.8 %","86.4 %","42.5 %","67.2 %",2022-07-30
"45-64",2022,12,"At least one vaccine dose","69.8 %","89.8 %","69.6 %","95.9 %","69.9 %","84.4 %",2022-07-30
"19-44",2022,12,"At least one vaccine dose","65.6 %","69.2 %","61.4 %","83.6 %","46.4 %","73 %",2022-07-30
"12-18",2022,12,"At least one vaccine dose","56 %","62.5 %","60.5 %","90.8 %","31.9 %","63.1 %",2022-07-30
"12+",2022,12,"At least one vaccine dose","73.5 %","76.1 %","66.5 %","89.6 %","48.1 %","74.6 %",2022-07-30
"65+",2022,12,"Completed vaccine series","97.2 %","100 %","84.8 %","100 %","94.5 %","86.8 %",2022-07-30
"5-11",2022,12,"Completed vaccine series","33.7 %","22.1 %","27.1 %","57.5 %","21.9 %","25.8 %",2022-07-30
"5+",2022,12,"Completed vaccine series","67.6 %","61.9 %","56.1 %","81.4 %","39.8 %","61.2 %",2022-07-30
"45-64",2022,12,"Completed vaccine series","67.9 %","84.6 %","65.3 %","91.7 %","67.6 %","79.5 %",2022-07-30
"19-44",2022,12,"Completed vaccine series","62.1 %","61.5 %","54.7 %","78.2 %","43 %","65.8 %",2022-07-30
"12-18",2022,12,"Completed vaccine series","53.6 %","55.1 %","54.3 %","86.1 %","29.9 %","57.4 %",2022-07-30
"12+",2022,12,"Completed vaccine series","70.6 %","69.3 %","60.9 %","84.6 %","45.3 %","68.2 %",2022-07-30
"65+",2022,11,"At least one vaccine dose","100 %","100 %","87.5 %","100 %","99.3 %","93.1 %",2022-07-30
"5-11",2022,11,"At least one vaccine dose","36.1 %","26.9 %","33.6 %","62.9 %","24.1 %","30.1 %",2022-07-30
"5+",2022,11,"At least one vaccine dose","70.4 %","68.3 %","61.7 %","86.3 %","42.5 %","67.1 %",2022-07-30
"45-64",2022,11,"At least one vaccine dose","69.8 %","89.7 %","69.6 %","95.8 %","69.9 %","84.3 %",2022-07-30
"19-44",2022,11,"At least one vaccine dose","65.6 %","69 %","61.3 %","83.6 %","46.3 %","72.9 %",2022-07-30
"12-18",2022,11,"At least one vaccine dose","56 %","62.4 %","60.4 %","90.7 %","31.8 %","63 %",2022-07-30
"12+",2022,11,"At least one vaccine dose","73.5 %","76 %","66.4 %","89.5 %","48.1 %","74.5 %",2022-07-30
"65+",2022,11,"Completed vaccine series","97.2 %","100 %","84.7 %","100 %","94.4 %","86.8 %",2022-07-30
"5-11",2022,11,"Completed vaccine series","33.6 %","21.7 %","26.8 %","56.9 %","21.8 %","25.5 %",2022-07-30
"5+",2022,11,"Completed vaccine series","67.5 %","61.7 %","55.9 %","81.2 %","39.7 %","61 %",2022-07-30
"45-64",2022,11,"Completed vaccine series","67.9 %","84.5 %","65.2 %","91.7 %","67.6 %","79.5 %",2022-07-30
"19-44",2022,11,"Completed vaccine series","62 %","61.3 %","54.5 %","78.1 %","43 %","65.7 %",2022-07-30
"12-18",2022,11,"Completed vaccine series","53.6 %","54.9 %","54 %","86 %","29.8 %","57.2 %",2022-07-30
"12+",2022,11,"Completed vaccine series","70.6 %","69.1 %","60.7 %","84.5 %","45.2 %","68.1 %",2022-07-30
"65+",2022,10,"At least one vaccine dose","100 %","100 %","87.5 %","100 %","99.3 %","93.1 %",2022-07-30
"5-11",2022,10,"At least one vaccine dose","36 %","26.5 %","33.4 %","62.4 %","24 %","29.8 %",2022-07-30
"5+",2022,10,"At least one vaccine dose","70.4 %","68.1 %","61.6 %","86.2 %","42.4 %","67 %",2022-07-30
"45-64",2022,10,"At least one vaccine dose","69.8 %","89.6 %","69.5 %","95.7 %","69.9 %","84.3 %",2022-07-30
"19-44",2022,10,"At least one vaccine dose","65.6 %","68.8 %","61.1 %","83.5 %","46.3 %","72.8 %",2022-07-30
"12-18",2022,10,"At least one vaccine dose","55.9 %","62.1 %","60.3 %","90.5 %","31.8 %","62.8 %",2022-07-30
"12+",2022,10,"At least one vaccine dose","73.5 %","75.8 %","66.3 %","89.4 %","48.1 %","74.4 %",2022-07-30
"65+",2022,10,"Completed vaccine series","97.2 %","100 %","84.7 %","100 %","94.4 %","86.8 %",2022-07-30
"5-11",2022,10,"Completed vaccine series","33.4 %","21.1 %","26.4 %","56.2 %","21.6 %","25.1 %",2022-07-30
"5+",2022,10,"Completed vaccine series","67.5 %","61.4 %","55.8 %","81.1 %","39.7 %","60.9 %",2022-07-30
"45-64",2022,10,"Completed vaccine series","67.9 %","84.3 %","65.1 %","91.6 %","67.5 %","79.4 %",2022-07-30
"19-44",2022,10,"Completed vaccine series","62 %","61.1 %","54.3 %","78.1 %","42.9 %","65.6 %",2022-07-30
"12-18",2022,10,"Completed vaccine series","53.5 %","54.5 %","53.9 %","85.7 %","29.8 %","56.9 %",2022-07-30
"12+",2022,10,"Completed vaccine series","70.5 %","68.9 %","60.6 %","84.4 %","45.1 %","68 %",2022-07-30
"65+",2022,9,"At least one vaccine dose","100 %","100 %","87.5 %","100 %","99.2 %","93 %",2022-07-30
"5-11",2022,9,"At least one vaccine dose","35.9 %","26.1 %","33.1 %","61.9 %","23.8 %","29.6 %",2022-07-30
"5+",2022,9,"At least one vaccine dose","70.3 %","67.9 %","61.4 %","86.1 %","42.4 %","66.8 %",2022-07-30
"45-64",2022,9,"At least one vaccine dose","69.7 %","89.5 %","69.4 %","95.7 %","69.8 %","84.2 %",2022-07-30
"19-44",2022,9,"At least one vaccine dose","65.5 %","68.6 %","61 %","83.4 %","46.2 %","72.6 %",2022-07-30
"12-18",2022,9,"At least one vaccine dose","55.9 %","61.9 %","60.2 %","90.4 %","31.7 %","62.7 %",2022-07-30
"12+",2022,9,"At least one vaccine dose","73.4 %","75.7 %","66.2 %","89.3 %","48 %","74.2 %",2022-07-30
"65+",2022,9,"Completed vaccine series","97.2 %","100 %","84.6 %","100 %","94.4 %","86.8 %",2022-07-30
"5-11",2022,9,"Completed vaccine series","33.3 %","20.6 %","26.2 %","55.5 %","21.4 %","24.6 %",2022-07-30
"5+",2022,9,"Completed vaccine series","67.4 %","61.1 %","55.6 %","80.9 %","39.5 %","60.6 %",2022-07-30
"45-64",2022,9,"Completed vaccine series","67.8 %","84.2 %","65 %","91.6 %","67.4 %","79.3 %",2022-07-30
"19-44",2022,9,"Completed vaccine series","61.9 %","60.7 %","54.1 %","77.9 %","42.8 %","65.4 %",2022-07-30
"12-18",2022,9,"Completed vaccine series","53.4 %","54.1 %","53.7 %","85.5 %","29.6 %","56.7 %",2022-07-30
"12+",2022,9,"Completed vaccine series","70.5 %","68.6 %","60.4 %","84.3 %","45.1 %","67.8 %",2022-07-30
"65+",2022,8,"At least one vaccine dose","100 %","100 %","87.4 %","100 %","99.1 %","93 %",2022-07-30
"5-11",2022,8,"At least one vaccine dose","35.8 %","25.6 %","32.8 %","61.4 %","23.6 %","29.2 %",2022-07-30
"5+",2022,8,"At least one vaccine dose","70.3 %","67.6 %","61.3 %","85.9 %","42.3 %","66.6 %",2022-07-30
"45-64",2022,8,"At least one vaccine dose","69.7 %","89.4 %","69.4 %","95.6 %","69.8 %","84.1 %",2022-07-30
"19-44",2022,8,"At least one vaccine dose","65.5 %","68.3 %","60.7 %","83.3 %","46.2 %","72.5 %",2022-07-30
"12-18",2022,8,"At least one vaccine dose","55.8 %","61.6 %","60 %","90.2 %","31.7 %","62.4 %",2022-07-30
"12+",2022,8,"At least one vaccine dose","73.4 %","75.4 %","66 %","89.3 %","47.9 %","74.1 %",2022-07-30
"65+",2022,8,"Completed vaccine series","97.2 %","100 %","84.6 %","100 %","94.4 %","86.7 %",2022-07-30
"5-11",2022,8,"Completed vaccine series","32.9 %","19.6 %","25.3 %","54.1 %","20.9 %","23.8 %",2022-07-30
"5+",2022,8,"Completed vaccine series","67.3 %","60.6 %","55.2 %","80.6 %","39.4 %","60.3 %",2022-07-30
"45-64",2022,8,"Completed vaccine series","67.8 %","84 %","64.9 %","91.5 %","67.4 %","79.2 %",2022-07-30
"19-44",2022,8,"Completed vaccine series","61.9 %","60.3 %","53.8 %","77.8 %","42.7 %","65.1 %",2022-07-30
"12-18",2022,8,"Completed vaccine series","53.2 %","53.6 %","53.3 %","85.2 %","29.5 %","56.3 %",2022-07-30
"12+",2022,8,"Completed vaccine series","70.4 %","68.2 %","60.2 %","84.2 %","44.9 %","67.6 %",2022-07-30
"65+",2022,7,"At least one vaccine dose","100 %","100 %","87.4 %","100 %","99.1 %","92.9 %",2022-07-30
"5-11",2022,7,"At least one vaccine dose","35.6 %","25 %","32.5 %","60.6 %","23.4 %","28.7 %",2022-07-30
"5+",2022,7,"At least one vaccine dose","70.2 %","67.3 %","61 %","85.7 %","42.2 %","66.4 %",2022-07-30
"45-64",2022,7,"At least one vaccine dose","69.7 %","89.3 %","69.3 %","95.6 %","69.8 %","84 %",2022-07-30
"19-44",2022,7,"At least one vaccine dose","65.4 %","68.1 %","60.5 %","83.2 %","46.1 %","72.3 %",2022-07-30
"12-18",2022,7,"At least one vaccine dose","55.7 %","61.2 %","59.7 %","90 %","31.6 %","62.2 %",2022-07-30
"12+",2022,7,"At least one vaccine dose","73.4 %","75.2 %","65.8 %","89.1 %","47.9 %","73.9 %",2022-07-30
"65+",2022,7,"Completed vaccine series","97.1 %","100 %","84.6 %","100 %","94.4 %","86.6 %",2022-07-30
"5-11",2022,7,"Completed vaccine series","32.1 %","18 %","24 %","51 %","20.2 %","22.3 %",2022-07-30
"5+",2022,7,"Completed vaccine series","67.2 %","60 %","54.8 %","80 %","39.1 %","59.8 %",2022-07-30
"45-64",2022,7,"Completed vaccine series","67.7 %","83.8 %","64.7 %","91.4 %","67.3 %","79 %",2022-07-30
"19-44",2022,7,"Completed vaccine series","61.7 %","59.9 %","53.5 %","77.6 %","42.6 %","64.8 %",2022-07-30
"12-18",2022,7,"Completed vaccine series","53 %","52.9 %","52.9 %","84.5 %","29.4 %","55.8 %",2022-07-30
"12+",2022,7,"Completed vaccine series","70.3 %","67.8 %","59.9 %","83.9 %","44.8 %","67.2 %",2022-07-30
"65+",2022,6,"At least one vaccine dose","100 %","100 %","87.4 %","100 %","99.1 %","92.8 %",2022-07-30
"5-11",2022,6,"At least one vaccine dose","35.4 %","24.3 %","32 %","59.8 %","23.2 %","28 %",2022-07-30
"5+",2022,6,"At least one vaccine dose","70.2 %","66.9 %","60.8 %","85.5 %","42 %","66.1 %",2022-07-30
"45-64",2022,6,"At least one vaccine dose","69.7 %","89.1 %","69.1 %","95.5 %","69.7 %","83.8 %",2022-07-30
"19-44",2022,6,"At least one vaccine dose","65.4 %","67.7 %","60.2 %","83 %","46 %","72 %",2022-07-30
"12-18",2022,6,"At least one vaccine dose","55.6 %","60.7 %","59.4 %","89.8 %","31.5 %","61.9 %",2022-07-30
"12+",2022,6,"At least one vaccine dose","73.3 %","74.9 %","65.6 %","89 %","47.7 %","73.6 %",2022-07-30
"65+",2022,6,"Completed vaccine series","97.1 %","100 %","84.5 %","100 %","94.3 %","86.5 %",2022-07-30
"5-11",2022,6,"Completed vaccine series","31.3 %","16.7 %","22.7 %","47.9 %","19.5 %","20.6 %",2022-07-30
"5+",2022,6,"Completed vaccine series","67 %","59.4 %","54.4 %","79.3 %","38.8 %","59.1 %",2022-07-30
"45-64",2022,6,"Completed vaccine series","67.7 %","83.5 %","64.5 %","91.3 %","67.1 %","78.8 %",2022-07-30
"19-44",2022,6,"Completed vaccine series","61.6 %","59.3 %","53.1 %","77.3 %","42.4 %","64.4 %",2022-07-30
"12-18",2022,6,"Completed vaccine series","52.8 %","52.2 %","52.3 %","83.7 %","29.1 %","55.1 %",2022-07-30
"12+",2022,6,"Completed vaccine series","70.2 %","67.3 %","59.6 %","83.6 %","44.6 %","66.8 %",2022-07-30
"65+",2022,5,"At least one vaccine dose","100 %","100 %","87.3 %","100 %","99 %","92.7 %",2022-07-30
"5-11",2022,5,"At least one vaccine dose","35 %","23.3 %","31.3 %","58.3 %","22.8 %","27.3 %",2022-07-30
"5+",2022,5,"At least one vaccine dose","70.1 %","66.4 %","60.5 %","85.2 %","41.9 %","65.7 %",2022-07-30
"45-64",2022,5,"At least one vaccine dose","69.6 %","88.8 %","69 %","95.4 %","69.6 %","83.6 %",2022-07-30
"19-44",2022,5,"At least one vaccine dose","65.3 %","67.2 %","59.9 %","82.8 %","45.8 %","71.6 %",2022-07-30
"12-18",2022,5,"At least one vaccine dose","55.5 %","60.2 %","59 %","89.4 %","31.3 %","61.4 %",2022-07-30
"12+",2022,5,"At least one vaccine dose","73.2 %","74.5 %","65.3 %","88.8 %","47.6 %","73.3 %",2022-07-30
"65+",2022,5,"Completed vaccine series","97.1 %","100 %","84.5 %","100 %","94.3 %","86.5 %",2022-07-30
"5-11",2022,5,"Completed vaccine series","30.4 %","15.1 %","21.4 %","44.9 %","18.9 %","19.1 %",2022-07-30
"5+",2022,5,"Completed vaccine series","66.8 %","58.7 %","53.9 %","78.7 %","38.5 %","58.6 %",2022-07-30
"45-64",2022,5,"Completed vaccine series","67.6 %","83.2 %","64.2 %","91.1 %","67 %","78.6 %",2022-07-30
"19-44",2022,5,"Completed vaccine series","61.4 %","58.8 %","52.7 %","77 %","42.2 %","63.9 %",2022-07-30
"12-18",2022,5,"Completed vaccine series","52.5 %","51.4 %","51.8 %","83.1 %","28.9 %","54.5 %",2022-07-30
"12+",2022,5,"Completed vaccine series","70.1 %","66.8 %","59.3 %","83.3 %","44.4 %","66.4 %",2022-07-30
"65+",2022,4,"At least one vaccine dose","100 %","100 %","87.2 %","100 %","99 %","92.4 %",2022-07-30
"5-11",2022,4,"At least one vaccine dose","34.4 %","21.6 %","30 %","55.6 %","22.1 %","25.8 %",2022-07-30
"5+",2022,4,"At least one vaccine dose","70 %","65.7 %","60.1 %","84.6 %","41.6 %","65.1 %",2022-07-30
"45-64",2022,4,"At least one vaccine dose","69.6 %","88.5 %","68.9 %","95.2 %","69.5 %","83.4 %",2022-07-30
"19-44",2022,4,"At least one vaccine dose","65.1 %","66.7 %","59.6 %","82.5 %","45.6 %","71.1 %",2022-07-30
"12-18",2022,4,"At least one vaccine dose","55.3 %","59.4 %","58.5 %","88.7 %","31.2 %","60.8 %",2022-07-30
"12+",2022,4,"At least one vaccine dose","73.1 %","73.9 %","65.1 %","88.5 %","47.5 %","72.9 %",2022-07-30
"65+",2022,4,"Completed vaccine series","97 %","100 %","84.4 %","100 %","94.2 %","86.4 %",2022-07-30
"5-11",2022,4,"Completed vaccine series","29.4 %","13.7 %","20.3 %","41.3 %","18 %","17.6 %",2022-07-30
"5+",2022,4,"Completed vaccine series","66.6 %","58 %","53.5 %","78 %","38.1 %","57.9 %",2022-07-30
"45-64",2022,4,"Completed vaccine series","67.5 %","82.8 %","64 %","91 %","66.8 %","78.3 %",2022-07-30
"19-44",2022,4,"Completed vaccine series","61.2 %","58.2 %","52.3 %","76.6 %","42.1 %","63.4 %",2022-07-30
"12-18",2022,4,"Completed vaccine series","52.2 %","50.5 %","51.3 %","82.2 %","28.6 %","53.8 %",2022-07-30
"12+",2022,4,"Completed vaccine series","70 %","66.3 %","59 %","83 %","44.3 %","65.9 %",2022-07-30
"65+",2022,3,"At least one vaccine dose","100 %","100 %","87.1 %","100 %","98.9 %","92.3 %",2022-07-30
"5-11",2022,3,"At least one vaccine dose","33.6 %","20.1 %","28.9 %","52.5 %","21.3 %","24.1 %",2022-07-30
"5+",2022,3,"At least one vaccine dose","69.8 %","64.9 %","59.5 %","83.8 %","41.2 %","64.3 %",2022-07-30
"45-64",2022,3,"At least one vaccine dose","69.5 %","88.1 %","68.5 %","95 %","69.3 %","83 %",2022-07-30
"19-44",2022,3,"At least one vaccine dose","64.9 %","66 %","59 %","82.1 %","45.4 %","70.5 %",2022-07-30
"12-18",2022,3,"At least one vaccine dose","55 %","58.5 %","57.9 %","87.9 %","30.9 %","60.1 %",2022-07-30
"12+",2022,3,"At least one vaccine dose","73 %","73.3 %","64.6 %","88.1 %","47.2 %","72.3 %",2022-07-30
"65+",2022,3,"Completed vaccine series","97 %","100 %","84.3 %","100 %","94.2 %","86.3 %",2022-07-30
"5-11",2022,3,"Completed vaccine series","28.5 %","12.2 %","19.3 %","38.5 %","17.1 %","16.3 %",2022-07-30
"5+",2022,3,"Completed vaccine series","66.4 %","57.3 %","53.1 %","77.4 %","37.8 %","57.4 %",2022-07-30
"45-64",2022,3,"Completed vaccine series","67.4 %","82.5 %","63.9 %","90.8 %","66.6 %","78 %",2022-07-30
"19-44",2022,3,"Completed vaccine series","61 %","57.6 %","51.9 %","76.4 %","41.9 %","63 %",2022-07-30
"12-18",2022,3,"Completed vaccine series","51.9 %","49.6 %","50.9 %","81.4 %","28.4 %","53.3 %",2022-07-30
"12+",2022,3,"Completed vaccine series","69.8 %","65.7 %","58.7 %","82.7 %","44.1 %","65.6 %",2022-07-30
"65+",2022,2,"At least one vaccine dose","100 %","100 %","87.1 %","100 %","98.8 %","92.1 %",2022-07-30
"5-11",2022,2,"At least one vaccine dose","32.7 %","18.5 %","27.2 %","49.4 %","20.6 %","22.6 %",2022-07-30
"5+",2022,2,"At least one vaccine dose","69.5 %","64.1 %","58.9 %","83.1 %","40.9 %","63.6 %",2022-07-30
"45-64",2022,2,"At least one vaccine dose","69.4 %","87.7 %","68.3 %","94.8 %","69.2 %","82.7 %",2022-07-30
"19-44",2022,2,"At least one vaccine dose","64.7 %","65.2 %","58.5 %","81.6 %","45.2 %","69.8 %",2022-07-30
"12-18",2022,2,"At least one vaccine dose","54.7 %","57.6 %","57.2 %","87 %","30.6 %","59.3 %",2022-07-30
"12+",2022,2,"At least one vaccine dose","72.8 %","72.6 %","64.2 %","87.7 %","47 %","71.7 %",2022-07-30
"65+",2022,2,"Completed vaccine series","97 %","100 %","84.3 %","100 %","94 %","86.1 %",2022-07-30
"5-11",2022,2,"Completed vaccine series","27.5 %","10.9 %","18.3 %","35.7 %","16.4 %","15.3 %",2022-07-30
"5+",2022,2,"Completed vaccine series","66.2 %","56.8 %","52.6 %","76.9 %","37.5 %","56.9 %",2022-07-30
"45-64",2022,2,"Completed vaccine series","67.3 %","82.2 %","63.7 %","90.7 %","66.5 %","77.8 %",2022-07-30
"19-44",2022,2,"Completed vaccine series","60.9 %","57.1 %","51.5 %","76.1 %","41.7 %","62.7 %",2022-07-30
"12-18",2022,2,"Completed vaccine series","51.6 %","48.9 %","50.4 %","80.9 %","28.2 %","52.8 %",2022-07-30
"12+",2022,2,"Completed vaccine series","69.7 %","65.3 %","58.4 %","82.5 %","43.9 %","65.2 %",2022-07-30
"65+",2022,1,"At least one vaccine dose","100 %","100 %","87.1 %","100 %","98.6 %","91.7 %",2022-07-30
"5-11",2022,1,"At least one vaccine dose","31.7 %","16.7 %","25.5 %","45.6 %","19.8 %","20.9 %",2022-07-30
"5+",2022,1,"At least one vaccine dose","69.3 %","63.2 %","58.3 %","82.2 %","40.4 %","62.7 %",2022-07-30
"45-64",2022,1,"At least one vaccine dose","69.2 %","87.2 %","68 %","94.4 %","68.9 %","82.2 %",2022-07-30
"19-44",2022,1,"At least one vaccine dose","64.4 %","64.4 %","58 %","81.1 %","44.8 %","69.1 %",2022-07-30
"12-18",2022,1,"At least one vaccine dose","54.3 %","56.5 %","56.5 %","86.1 %","30.4 %","58.6 %",2022-07-30
"12+",2022,1,"At least one vaccine dose","72.6 %","71.9 %","63.8 %","87.1 %","46.7 %","71.1 %",2022-07-30
"65+",2022,1,"Completed vaccine series","96.9 %","100 %","84.2 %","100 %","93.9 %","86 %",2022-07-30
"5-11",2022,1,"Completed vaccine series","26.5 %","9.6 %","17 %","32.9 %","15.4 %","13.9 %",2022-07-30
"5+",2022,1,"Completed vaccine series","66 %","56.1 %","52.2 %","76.3 %","37.1 %","56.4 %",2022-07-30
"45-64",2022,1,"Completed vaccine series","67.1 %","81.9 %","63.5 %","90.6 %","66.3 %","77.5 %",2022-07-30
"19-44",2022,1,"Completed vaccine series","60.7 %","56.6 %","51.1 %","75.8 %","41.5 %","62.3 %",2022-07-30
"12-18",2022,1,"Completed vaccine series","51.3 %","48.3 %","49.9 %","80.2 %","28 %","52.3 %",2022-07-30
"12+",2022,1,"Completed vaccine series","69.5 %","64.8 %","58 %","82.2 %","43.7 %","64.9 %",2022-07-30
"65+",2021,52,"At least one vaccine dose","100 %","100 %","87 %","100 %","98.5 %","91.5 %",2022-07-30
"5-11",2021,52,"At least one vaccine dose","30.7 %","15 %","24.2 %","42.6 %","19 %","19.3 %",2022-07-30
"5+",2021,52,"At least one vaccine dose","69 %","62.4 %","57.8 %","81.4 %","40.1 %","62 %",2022-07-30
"45-64",2021,52,"At least one vaccine dose","69.1 %","86.8 %","67.8 %","94.1 %","68.6 %","81.8 %",2022-07-30
"19-44",2021,52,"At least one vaccine dose","64.1 %","63.7 %","57.5 %","80.6 %","44.6 %","68.5 %",2022-07-30
"12-18",2021,52,"At least one vaccine dose","54.1 %","55.5 %","55.8 %","85.4 %","30.1 %","57.9 %",2022-07-30
"12+",2021,52,"At least one vaccine dose","72.4 %","71.3 %","63.4 %","86.6 %","46.5 %","70.5 %",2022-07-30
"65+",2021,52,"Completed vaccine series","96.9 %","100 %","84.1 %","100 %","93.8 %","85.9 %",2022-07-30
"5-11",2021,52,"Completed vaccine series","24.6 %","8.1 %","15.2 %","28.5 %","14.1 %","12.1 %",2022-07-30
"5+",2021,52,"Completed vaccine series","65.7 %","55.5 %","51.6 %","75.5 %","36.6 %","55.8 %",2022-07-30
"45-64",2021,52,"Completed vaccine series","67 %","81.6 %","63.3 %","90.4 %","66.1 %","77.3 %",2022-07-30
"19-44",2021,52,"Completed vaccine series","60.4 %","56 %","50.7 %","75.6 %","41.3 %","61.9 %",2022-07-30
"12-18",2021,52,"Completed vaccine series","51 %","47.6 %","49.3 %","79.3 %","27.7 %","51.8 %",2022-07-30
"12+",2021,52,"Completed vaccine series","69.4 %","64.3 %","57.7 %","81.8 %","43.5 %","64.5 %",2022-07-30
"65+",2021,51,"At least one vaccine dose","100 %","100 %","86.9 %","100 %","98.3 %","91.2 %",2022-07-30
"5-11",2021,51,"At least one vaccine dose","29.7 %","13.7 %","23.3 %","39.8 %","18.1 %","18.3 %",2022-07-30
"5+",2021,51,"At least one vaccine dose","68.7 %","61.8 %","57.4 %","80.7 %","39.7 %","61.5 %",2022-07-30
"45-64",2021,51,"At least one vaccine dose","68.9 %","86.6 %","67.6 %","93.8 %","68.5 %","81.6 %",2022-07-30
"19-44",2021,51,"At least one vaccine dose","63.8 %","63.1 %","57 %","80.2 %","44.4 %","68.1 %",2022-07-30
"12-18",2021,51,"At least one vaccine dose","53.8 %","54.7 %","55.5 %","84.8 %","29.9 %","57.5 %",2022-07-30
"12+",2021,51,"At least one vaccine dose","72.2 %","70.8 %","63.1 %","86.3 %","46.3 %","70.1 %",2022-07-30
"65+",2021,51,"Completed vaccine series","96.8 %","100 %","84 %","100 %","93.7 %","85.8 %",2022-07-30
"5-11",2021,51,"Completed vaccine series","22.9 %","7 %","13.7 %","25.7 %","13.1 %","10.7 %",2022-07-30
"5+",2021,51,"Completed vaccine series","65.4 %","55 %","51.2 %","74.9 %","36.3 %","55.3 %",2022-07-30
"45-64",2021,51,"Completed vaccine series","66.9 %","81.3 %","63.1 %","90.2 %","66 %","77.1 %",2022-07-30
"19-44",2021,51,"Completed vaccine series","60.2 %","55.6 %","50.3 %","75.3 %","41.2 %","61.6 %",2022-07-30
"12-18",2021,51,"Completed vaccine series","50.7 %","47.2 %","48.8 %","78.8 %","27.6 %","51.4 %",2022-07-30
"12+",2021,51,"Completed vaccine series","69.2 %","63.9 %","57.4 %","81.6 %","43.3 %","64.2 %",2022-07-30
"65+",2021,50,"At least one vaccine dose","100 %","100 %","86.8 %","100 %","98.2 %","90.9 %",2022-07-30
"5-11",2021,50,"At least one vaccine dose","28.8 %","12.4 %","22.4 %","37.1 %","17.3 %","17.1 %",2022-07-30
"5+",2021,50,"At least one vaccine dose","68.5 %","61.2 %","57 %","80.1 %","39.4 %","61.1 %",2022-07-30
"45-64",2021,50,"At least one vaccine dose","68.8 %","86.3 %","67.4 %","93.5 %","68.3 %","81.3 %",2022-07-30
"19-44",2021,50,"At least one vaccine dose","63.5 %","62.6 %","56.7 %","79.9 %","44.1 %","67.8 %",2022-07-30
"12-18",2021,50,"At least one vaccine dose","53.5 %","54.1 %","55.1 %","84.2 %","29.8 %","57.1 %",2022-07-30
"12+",2021,50,"At least one vaccine dose","72 %","70.3 %","62.8 %","85.9 %","46 %","69.8 %",2022-07-30
"65+",2021,50,"Completed vaccine series","96.8 %","100 %","84 %","100 %","93.7 %","85.8 %",2022-07-30
"5-11",2021,50,"Completed vaccine series","21.3 %","6 %","12.1 %","22.5 %","12 %","9.7 %",2022-07-30
"5+",2021,50,"Completed vaccine series","65.1 %","54.6 %","50.7 %","74.4 %","35.9 %","55 %",2022-07-30
"45-64",2021,50,"Completed vaccine series","66.8 %","81 %","62.9 %","90.1 %","65.9 %","76.9 %",2022-07-30
"19-44",2021,50,"Completed vaccine series","60.1 %","55.2 %","50 %","75.1 %","41 %","61.4 %",2022-07-30
"12-18",2021,50,"Completed vaccine series","50.4 %","46.8 %","48.3 %","78.4 %","27.4 %","51.1 %",2022-07-30
