"County","Percent with at least one dose","Percent with completed vaccine series","Percent up to date with vaccine doses","Age group","reportedDate","webDate"
"NOBLES","64.6 %","60.3 %","20.3 %","Total population","9/26/2022",2022-09-28
"NORMAN","61.5 %","58.5 %","20 %","Total population","9/26/2022",2022-09-28
"ROCK","54.2 %","50.3 %","19.2 %","Total population","9/26/2022",2022-09-28
"OLMSTED","85.2 %","80.6 %","47.6 %","Total population","9/26/2022",2022-09-28
"OTTER TAIL","58.8 %","55.7 %","22.8 %","Total population","9/26/2022",2022-09-28
"PENNINGTON","59 %","56.5 %","21.8 %","Total population","9/26/2022",2022-09-28
"PINE","50 %","47.3 %","19.1 %","Total population","9/26/2022",2022-09-28
"STEVENS","59.5 %","56.4 %","24.5 %","Total population","9/26/2022",2022-09-28
"POPE","59.3 %","56.7 %","26.6 %","Total population","9/26/2022",2022-09-28
"ROSEAU","53.4 %","51.2 %","16.2 %","Total population","9/26/2022",2022-09-28
"RED LAKE","58.3 %","55.7 %","16.2 %","Total population","9/26/2022",2022-09-28
"YELLOW MEDICINE","55.3 %","53 %","21.1 %","Total population","9/26/2022",2022-09-28
"SHERBURNE","55.8 %","53 %","21.9 %","Total population","9/26/2022",2022-09-28
"SIBLEY","55.4 %","53.1 %","18.9 %","Total population","9/26/2022",2022-09-28
"WADENA","47.8 %","45.4 %","18.2 %","Total population","9/26/2022",2022-09-28
"STEELE","64.8 %","61.7 %","29.6 %","Total population","9/26/2022",2022-09-28
"SWIFT","59.3 %","57 %","25.3 %","Total population","9/26/2022",2022-09-28
"TODD","47.4 %","45 %","16.7 %","Total population","9/26/2022",2022-09-28
"TRAVERSE","64.4 %","61.6 %","26.1 %","Total population","9/26/2022",2022-09-28
"WABASHA","66.6 %","63.9 %","28.8 %","Total population","9/26/2022",2022-09-28
"WINONA","64.6 %","61.8 %","31.9 %","Total population","9/26/2022",2022-09-28
"WATONWAN","62.6 %","58.8 %","22.5 %","Total population","9/26/2022",2022-09-28
"AITKIN","66.9 %","64.3 %","25.9 %","12+","9/26/2022",2022-09-28
"BROWN","73.8 %","71.3 %","31 %","12+","9/26/2022",2022-09-28
"ANOKA","79 %","75 %","35.7 %","12+","9/26/2022",2022-09-28
"WASHINGTON","89.9 %","85.5 %","46.8 %","12+","9/26/2022",2022-09-28
"BECKER","66.5 %","63.3 %","25.1 %","12+","9/26/2022",2022-09-28
"MCLEOD","69.2 %","66.3 %","26.2 %","12+","9/26/2022",2022-09-28
"BELTRAMI","71.2 %","67.3 %","33.7 %","12+","9/26/2022",2022-09-28
"WASECA","66.8 %","64.1 %","27.8 %","12+","9/26/2022",2022-09-28
"BENTON","62.1 %","59 %","25.8 %","12+","9/26/2022",2022-09-28
"RAMSEY","86.5 %","81 %","47.7 %","12+","9/26/2022",2022-09-28
"BIG STONE","71 %","69.2 %","28.7 %","12+","9/26/2022",2022-09-28
"REDWOOD","65.2 %","62.8 %","24.3 %","12+","9/26/2022",2022-09-28
"BLUE EARTH","72.1 %","68.3 %","33.3 %","12+","9/26/2022",2022-09-28
"MORRISON","57.9 %","55.2 %","22.7 %","12+","9/26/2022",2022-09-28
"LYON","67.4 %","64.2 %","23.7 %","12+","9/26/2022",2022-09-28
"CARLTON","79.6 %","75.6 %","37.2 %","12+","9/26/2022",2022-09-28
"CARVER","87.8 %","83.7 %","44 %","12+","9/26/2022",2022-09-28
"GRANT","63.4 %","60.5 %","23.5 %","12+","9/26/2022",2022-09-28
"CASS","68.2 %","64.4 %","27.8 %","12+","9/26/2022",2022-09-28
"RICE","74.1 %","70.3 %","36.3 %","12+","9/26/2022",2022-09-28
"CHIPPEWA","67.8 %","64.6 %","27 %","12+","9/26/2022",2022-09-28
"CLAY","71.9 %","66.4 %","30 %","12+","9/26/2022",2022-09-28
"CHISAGO","66 %","63.4 %","28.9 %","12+","9/26/2022",2022-09-28
"RENVILLE","64.2 %","61.6 %","24.2 %","12+","9/26/2022",2022-09-28
"CLEARWATER","48.5 %","45.9 %","16.6 %","12+","9/26/2022",2022-09-28
"WILKIN","63.9 %","59.9 %","20.6 %","12+","9/26/2022",2022-09-28
"COOK","93.2 %","88.6 %","52.7 %","12+","9/26/2022",2022-09-28
"STEARNS","65.4 %","61.8 %","28.6 %","12+","9/26/2022",2022-09-28
"COTTONWOOD","68.9 %","66.4 %","23.9 %","12+","9/26/2022",2022-09-28
"WRIGHT","70.8 %","67.3 %","29.3 %","12+","9/26/2022",2022-09-28
"CROW WING","67.1 %","63.9 %","28.6 %","12+","9/26/2022",2022-09-28
"DODGE","74.5 %","71.6 %","34.5 %","12+","9/26/2022",2022-09-28
"DAKOTA","88.9 %","84.3 %","45.7 %","12+","9/26/2022",2022-09-28
"KANABEC","56.1 %","53.5 %","22.1 %","12+","9/26/2022",2022-09-28
"DOUGLAS","67.9 %","65.1 %","30.9 %","12+","9/26/2022",2022-09-28
"POLK","64.6 %","60.8 %","22.3 %","12+","9/26/2022",2022-09-28
"FARIBAULT","65 %","62.5 %","26.2 %","12+","9/26/2022",2022-09-28
"FILLMORE","73.8 %","71.7 %","32.2 %","12+","9/26/2022",2022-09-28
"FREEBORN","70.2 %","67.2 %","31.2 %","12+","9/26/2022",2022-09-28
"HENNEPIN","90.3 %","84.4 %","50.9 %","12+","9/26/2022",2022-09-28
"GOODHUE","76.7 %","73.6 %","38.1 %","12+","9/26/2022",2022-09-28
"HOUSTON","76.1 %","73.1 %","35.7 %","12+","9/26/2022",2022-09-28
"HUBBARD","62.7 %","59.4 %","24.2 %","12+","9/26/2022",2022-09-28
"SCOTT","85.4 %","81 %","38.8 %","12+","9/26/2022",2022-09-28
"ISANTI","59 %","56.1 %","22.1 %","12+","9/26/2022",2022-09-28
"ITASCA","67 %","64.3 %","28.7 %","12+","9/26/2022",2022-09-28
"JACKSON","62 %","59.9 %","21.7 %","12+","9/26/2022",2022-09-28
"MEEKER","59.1 %","56.7 %","23.3 %","12+","9/26/2022",2022-09-28
"KANDIYOHI","67.9 %","64.4 %","30.3 %","12+","9/26/2022",2022-09-28
"ST. LOUIS","76.1 %","72.1 %","39.5 %","12+","9/26/2022",2022-09-28
"KITTSON","66.6 %","64.5 %","29.9 %","12+","9/26/2022",2022-09-28
"KOOCHICHING","63.9 %","61.8 %","24.8 %","12+","9/26/2022",2022-09-28
"ROCK","62.7 %","58.5 %","22.7 %","12+","9/26/2022",2022-09-28
"LAC QUI PARLE","69.1 %","66.4 %","29 %","12+","9/26/2022",2022-09-28
"NOBLES","75.9 %","71.1 %","24.9 %","12+","9/26/2022",2022-09-28
"LAKE","78.8 %","75.3 %","38 %","12+","9/26/2022",2022-09-28
"LAKE OF THE WOODS","66.4 %","63.4 %","20.5 %","12+","9/26/2022",2022-09-28
"STEVENS","65.5 %","62.2 %","27.7 %","12+","9/26/2022",2022-09-28
"LE SUEUR","71.2 %","68.1 %","30.2 %","12+","9/26/2022",2022-09-28
"LINCOLN","65.5 %","63.1 %","22.2 %","12+","9/26/2022",2022-09-28
"ROSEAU","62 %","59.4 %","18.9 %","12+","9/26/2022",2022-09-28
"MAHNOMEN","68.2 %","64.6 %","21.2 %","12+","9/26/2022",2022-09-28
"OLMSTED","95.4 %","90.4 %","54.6 %","12+","9/26/2022",2022-09-28
"MARSHALL","59.8 %","57.3 %","18.3 %","12+","9/26/2022",2022-09-28
"YELLOW MEDICINE","63.7 %","61.1 %","24.7 %","12+","9/26/2022",2022-09-28
"MARTIN","64.4 %","61.7 %","25.7 %","12+","9/26/2022",2022-09-28
"MILLE LACS","58.7 %","55.3 %","22.3 %","12+","9/26/2022",2022-09-28
"POPE","66.4 %","63.7 %","30.6 %","12+","9/26/2022",2022-09-28
"SHERBURNE","64.5 %","61.3 %","26 %","12+","9/26/2022",2022-09-28
"MOWER","75.7 %","71.9 %","34.2 %","12+","9/26/2022",2022-09-28
"MURRAY","67.2 %","64.7 %","21.4 %","12+","9/26/2022",2022-09-28
"WADENA","55.9 %","53.1 %","21.7 %","12+","9/26/2022",2022-09-28
"NICOLLET","76.3 %","73.2 %","37 %","12+","9/26/2022",2022-09-28
"NORMAN","69.3 %","66.3 %","23.1 %","12+","9/26/2022",2022-09-28
"TODD","54.7 %","52.2 %","19.5 %","12+","9/26/2022",2022-09-28
"OTTER TAIL","66.8 %","63.4 %","26.3 %","12+","9/26/2022",2022-09-28
"PENNINGTON","67.5 %","64.8 %","25.6 %","12+","9/26/2022",2022-09-28
"PINE","55.6 %","52.8 %","21.7 %","12+","9/26/2022",2022-09-28
"PIPESTONE","65.1 %","61 %","18.7 %","12+","9/26/2022",2022-09-28
"SIBLEY","63.3 %","60.8 %","22.1 %","12+","9/26/2022",2022-09-28
"RED LAKE","66.6 %","63.9 %","18.9 %","12+","9/26/2022",2022-09-28
"WINONA","69.7 %","66.7 %","35.3 %","12+","9/26/2022",2022-09-28
"WABASHA","74.3 %","71.5 %","32.8 %","12+","9/26/2022",2022-09-28
"STEELE","73.5 %","70.1 %","34.4 %","12+","9/26/2022",2022-09-28
"SWIFT","66.4 %","63.8 %","29 %","12+","9/26/2022",2022-09-28
"TRAVERSE","71.3 %","68.2 %","29.3 %","12+","9/26/2022",2022-09-28
"WATONWAN","71.4 %","67.5 %","26.4 %","12+","9/26/2022",2022-09-28
"AITKIN","63.1 %","60.5 %","24.1 %","5+","9/26/2022",2022-09-28
"BROWN","69.8 %","67.3 %","28.7 %","5+","9/26/2022",2022-09-28
"ANOKA","75.6 %","71.5 %","33.1 %","5+","9/26/2022",2022-09-28
"WASHINGTON","86.7 %","82.3 %","43.3 %","5+","9/26/2022",2022-09-28
"BECKER","61.4 %","58.3 %","22.7 %","5+","9/26/2022",2022-09-28
"MCLEOD","64.4 %","61.6 %","23.9 %","5+","9/26/2022",2022-09-28
"BELTRAMI","67.8 %","63.5 %","31.1 %","5+","9/26/2022",2022-09-28
"WASECA","62.7 %","60 %","25.6 %","5+","9/26/2022",2022-09-28
"BENTON","58.4 %","55.5 %","23.6 %","5+","9/26/2022",2022-09-28
"RAMSEY","83.7 %","78.3 %","44.6 %","5+","9/26/2022",2022-09-28
"BIG STONE","66.9 %","64.9 %","26.5 %","5+","9/26/2022",2022-09-28
"REDWOOD","61 %","58.6 %","22.2 %","5+","9/26/2022",2022-09-28
"BLUE EARTH","69.2 %","65.5 %","31.1 %","5+","9/26/2022",2022-09-28
"MORRISON","53.8 %","51.2 %","20.7 %","5+","9/26/2022",2022-09-28
"LYON","62.8 %","59.7 %","21.6 %","5+","9/26/2022",2022-09-28
"CARLTON","75.6 %","71.6 %","34.3 %","5+","9/26/2022",2022-09-28
"CARVER","83.8 %","79.8 %","40.1 %","5+","9/26/2022",2022-09-28
"GRANT","59 %","56.4 %","21.4 %","5+","9/26/2022",2022-09-28
"CASS","64.1 %","60.3 %","25.5 %","5+","9/26/2022",2022-09-28
"RICE","70.4 %","66.6 %","33.6 %","5+","9/26/2022",2022-09-28
"CHIPPEWA","63.3 %","60.1 %","24.9 %","5+","9/26/2022",2022-09-28
"CLAY","69.1 %","63.7 %","28 %","5+","9/26/2022",2022-09-28
"CHISAGO","62.6 %","60 %","26.7 %","5+","9/26/2022",2022-09-28
"RENVILLE","59.9 %","57.3 %","22.1 %","5+","9/26/2022",2022-09-28
"CLEARWATER","44.6 %","42.1 %","15 %","5+","9/26/2022",2022-09-28
"WILKIN","60.4 %","56.5 %","19.2 %","5+","9/26/2022",2022-09-28
"COOK","92 %","87.3 %","51.1 %","5+","9/26/2022",2022-09-28
"STEARNS","62.3 %","58.6 %","26.6 %","5+","9/26/2022",2022-09-28
"COTTONWOOD","63.7 %","61.2 %","21.5 %","5+","9/26/2022",2022-09-28
"WRIGHT","65.7 %","62.4 %","26.4 %","5+","9/26/2022",2022-09-28
"CROW WING","62.8 %","59.7 %","26.3 %","5+","9/26/2022",2022-09-28
"DODGE","70.1 %","67.2 %","31.8 %","5+","9/26/2022",2022-09-28
"DAKOTA","85.3 %","80.7 %","42.3 %","5+","9/26/2022",2022-09-28
"DOUGLAS","64.1 %","61.3 %","28.6 %","5+","9/26/2022",2022-09-28
"KANABEC","52.6 %","50.1 %","20.4 %","5+","9/26/2022",2022-09-28
"FARIBAULT","61 %","58.7 %","24.2 %","5+","9/26/2022",2022-09-28
"POLK","60.7 %","57 %","20.5 %","5+","9/26/2022",2022-09-28
"FILLMORE","68.7 %","66.6 %","29.3 %","5+","9/26/2022",2022-09-28
"FREEBORN","65.9 %","63 %","28.7 %","5+","9/26/2022",2022-09-28
"GOODHUE","72.9 %","69.7 %","35.3 %","5+","9/26/2022",2022-09-28
"HENNEPIN","87.6 %","81.7 %","47.7 %","5+","9/26/2022",2022-09-28
"ST. LOUIS","73.8 %","69.9 %","37.4 %","5+","9/26/2022",2022-09-28
"HOUSTON","72.1 %","69.1 %","33.3 %","5+","9/26/2022",2022-09-28
"HUBBARD","58.7 %","55.4 %","22.3 %","5+","9/26/2022",2022-09-28
"ISANTI","54.8 %","52.1 %","20.3 %","5+","9/26/2022",2022-09-28
"SCOTT","80.4 %","76.2 %","35.1 %","5+","9/26/2022",2022-09-28
"ITASCA","62.9 %","60.3 %","26.4 %","5+","9/26/2022",2022-09-28
"JACKSON","58.5 %","56.3 %","20.1 %","5+","9/26/2022",2022-09-28
"KANDIYOHI","63.1 %","59.7 %","27.7 %","5+","9/26/2022",2022-09-28
"MEEKER","55.1 %","52.8 %","21.3 %","5+","9/26/2022",2022-09-28
"KITTSON","63 %","60.9 %","27.4 %","5+","9/26/2022",2022-09-28
"PIPESTONE","60.1 %","56 %","16.9 %","5+","9/26/2022",2022-09-28
"KOOCHICHING","60.1 %","58 %","23.1 %","5+","9/26/2022",2022-09-28
"LAC QUI PARLE","65.7 %","63.2 %","27.3 %","5+","9/26/2022",2022-09-28
"ROCK","58.1 %","53.9 %","20.6 %","5+","9/26/2022",2022-09-28
"LAKE","76 %","72.5 %","35.9 %","5+","9/26/2022",2022-09-28
"NOBLES","70.5 %","65.9 %","22.2 %","5+","9/26/2022",2022-09-28
"LAKE OF THE WOODS","62.7 %","59.9 %","19.2 %","5+","9/26/2022",2022-09-28
"LE SUEUR","66.9 %","63.9 %","27.6 %","5+","9/26/2022",2022-09-28
"STEVENS","63.1 %","59.8 %","26 %","5+","9/26/2022",2022-09-28
"LINCOLN","60.6 %","58.2 %","20.1 %","5+","9/26/2022",2022-09-28
"ROSEAU","56.7 %","54.4 %","17.2 %","5+","9/26/2022",2022-09-28
"MAHNOMEN","60.9 %","57.3 %","18.4 %","5+","9/26/2022",2022-09-28
"MARSHALL","55.8 %","53.5 %","16.7 %","5+","9/26/2022",2022-09-28
"OLMSTED","91.6 %","86.6 %","51.2 %","5+","9/26/2022",2022-09-28
"MARTIN","59.4 %","56.9 %","23.3 %","5+","9/26/2022",2022-09-28
"YELLOW MEDICINE","59 %","56.5 %","22.5 %","5+","9/26/2022",2022-09-28
"MILLE LACS","54.7 %","51.4 %","20.3 %","5+","9/26/2022",2022-09-28
"POPE","62.8 %","60.1 %","28.2 %","5+","9/26/2022",2022-09-28
"MOWER","70.9 %","67.1 %","31.2 %","5+","9/26/2022",2022-09-28
"SHERBURNE","59.7 %","56.7 %","23.5 %","5+","9/26/2022",2022-09-28
"MURRAY","62.9 %","60.5 %","19.6 %","5+","9/26/2022",2022-09-28
"NICOLLET","73.3 %","70.2 %","34.4 %","5+","9/26/2022",2022-09-28
"WADENA","51.4 %","48.8 %","19.6 %","5+","9/26/2022",2022-09-28
"NORMAN","65 %","61.9 %","21.2 %","5+","9/26/2022",2022-09-28
"TODD","50.8 %","48.3 %","17.9 %","5+","9/26/2022",2022-09-28
"OTTER TAIL","62.5 %","59.2 %","24.2 %","5+","9/26/2022",2022-09-28
"PENNINGTON","63.2 %","60.5 %","23.3 %","5+","9/26/2022",2022-09-28
"PINE","52.5 %","49.7 %","20.1 %","5+","9/26/2022",2022-09-28
"RED LAKE","62.3 %","59.6 %","17.3 %","5+","9/26/2022",2022-09-28
"SIBLEY","58.8 %","56.4 %","20.1 %","5+","9/26/2022",2022-09-28
"WINONA","67.9 %","64.9 %","33.5 %","5+","9/26/2022",2022-09-28
"WABASHA","70.5 %","67.6 %","30.5 %","5+","9/26/2022",2022-09-28
"STEELE","69.1 %","65.8 %","31.6 %","5+","9/26/2022",2022-09-28
"SWIFT","62.9 %","60.4 %","26.8 %","5+","9/26/2022",2022-09-28
"TRAVERSE","67.7 %","64.7 %","27.4 %","5+","9/26/2022",2022-09-28
"WATONWAN","67.7 %","63.6 %","24.3 %","5+","9/26/2022",2022-09-28
