Age group,year,week,case_definition,White,Black/African American,American Indian,Asian/Pacific Islander,Multiracial,Hispanic,webDate
65+,2022,18,At least one vaccine dose,99.20%,100%,85.40%,100%,83%,94.70%,9/16/2022
11-May,2022,18,At least one vaccine dose,35.90%,28.10%,34.20%,63.50%,21.40%,31.60%,9/16/2022
5+,2022,18,At least one vaccine dose,69.60%,68.30%,61.60%,86%,35.70%,68.60%,9/16/2022
45-64,2022,18,At least one vaccine dose,69.20%,89.30%,68.30%,95.70%,56.50%,85.70%,9/16/2022
19-44,2022,18,At least one vaccine dose,64.80%,69%,61.90%,82.80%,38.70%,74.20%,9/16/2022
18-Dec,2022,18,At least one vaccine dose,55.60%,62.80%,60.90%,90.80%,27.20%,65.10%,9/16/2022
12+,2022,18,At least one vaccine dose,72.60%,75.80%,66.10%,89%,40.10%,75.90%,9/16/2022
65+,2022,18,Completed vaccine series,96%,100%,82.70%,100%,79.80%,88%,9/16/2022
11-May,2022,18,Completed vaccine series,33.50%,23.20%,27.90%,58.20%,19.40%,27.10%,9/16/2022
5+,2022,18,Completed vaccine series,66.80%,61.90%,56%,80.90%,33.40%,62.40%,9/16/2022
45-64,2022,18,Completed vaccine series,67.30%,84.10%,64.20%,91.50%,54.70%,80.70%,9/16/2022
19-44,2022,18,Completed vaccine series,61.30%,61.40%,55.10%,77.30%,35.80%,66.90%,9/16/2022
18-Dec,2022,18,Completed vaccine series,53.30%,55.60%,54.60%,86.30%,25.60%,59.30%,9/16/2022
12+,2022,18,Completed vaccine series,69.80%,69.10%,60.60%,84%,37.70%,69.50%,9/16/2022
65+,2022,17,At least one vaccine dose,99.10%,100%,85.30%,100%,83%,94.60%,9/16/2022
11-May,2022,17,At least one vaccine dose,35.80%,27.90%,34.10%,63.30%,21.30%,31.50%,9/16/2022
5+,2022,17,At least one vaccine dose,69.50%,68.20%,61.50%,85.90%,35.70%,68.50%,9/16/2022
45-64,2022,17,At least one vaccine dose,69.10%,89.20%,68.30%,95.70%,56.50%,85.60%,9/16/2022
19-44,2022,17,At least one vaccine dose,64.80%,68.80%,61.80%,82.70%,38.60%,74.10%,9/16/2022
18-Dec,2022,17,At least one vaccine dose,55.60%,62.70%,60.70%,90.70%,27.20%,65%,9/16/2022
12+,2022,17,At least one vaccine dose,72.60%,75.70%,66%,89%,40%,75.90%,9/16/2022
65+,2022,17,Completed vaccine series,95.90%,100%,82.70%,100%,79.70%,87.90%,9/16/2022
11-May,2022,17,Completed vaccine series,33.40%,23%,27.80%,58%,19.30%,27%,9/16/2022
5+,2022,17,Completed vaccine series,66.80%,61.80%,55.90%,80.90%,33.40%,62.40%,9/16/2022
45-64,2022,17,Completed vaccine series,67.30%,84.10%,64.10%,91.50%,54.60%,80.70%,9/16/2022
19-44,2022,17,Completed vaccine series,61.30%,61.30%,55%,77.30%,35.80%,66.80%,9/16/2022
18-Dec,2022,17,Completed vaccine series,53.20%,55.40%,54.40%,86.20%,25.60%,59.30%,9/16/2022
12+,2022,17,Completed vaccine series,69.80%,69%,60.50%,84%,37.60%,69.40%,9/16/2022
65+,2022,16,At least one vaccine dose,99.10%,100%,85.30%,100%,83%,94.40%,9/16/2022
11-May,2022,16,At least one vaccine dose,35.70%,27.70%,33.90%,63.10%,21.20%,31.30%,9/16/2022
5+,2022,16,At least one vaccine dose,69.50%,68.10%,61.40%,85.80%,35.60%,68.40%,9/16/2022
45-64,2022,16,At least one vaccine dose,69.10%,89.20%,68.20%,95.60%,56.50%,85.60%,9/16/2022
19-44,2022,16,At least one vaccine dose,64.80%,68.70%,61.60%,82.70%,38.60%,74%,9/16/2022
18-Dec,2022,16,At least one vaccine dose,55.60%,62.50%,60.60%,90.60%,27.10%,64.90%,9/16/2022
12+,2022,16,At least one vaccine dose,72.50%,75.60%,65.90%,88.90%,40%,75.80%,9/16/2022
65+,2022,16,Completed vaccine series,95.70%,100%,82.70%,100%,79.60%,87.80%,9/16/2022
11-May,2022,16,Completed vaccine series,33.30%,22.80%,27.50%,57.70%,19.30%,26.80%,9/16/2022
5+,2022,16,Completed vaccine series,66.70%,61.60%,55.70%,80.80%,33.30%,62.30%,9/16/2022
45-64,2022,16,Completed vaccine series,67.30%,84%,64%,91.40%,54.60%,80.60%,9/16/2022
19-44,2022,16,Completed vaccine series,61.30%,61.20%,54.90%,77.20%,35.70%,66.70%,9/16/2022
18-Dec,2022,16,Completed vaccine series,53.20%,55.30%,54.30%,86.10%,25.50%,59.20%,9/16/2022
12+,2022,16,Completed vaccine series,69.70%,68.90%,60.40%,83.90%,37.60%,69.30%,9/16/2022
65+,2022,15,At least one vaccine dose,99%,100%,85.20%,100%,82.90%,94.30%,9/16/2022
11-May,2022,15,At least one vaccine dose,35.70%,27.50%,33.70%,62.80%,21.10%,31.20%,9/16/2022
5+,2022,15,At least one vaccine dose,69.50%,68%,61.20%,85.70%,35.60%,68.30%,9/16/2022
45-64,2022,15,At least one vaccine dose,69.10%,89.10%,68.20%,95.50%,56.40%,85.50%,9/16/2022
19-44,2022,15,At least one vaccine dose,64.70%,68.60%,61.40%,82.60%,38.60%,73.90%,9/16/2022
18-Dec,2022,15,At least one vaccine dose,55.50%,62.40%,60.50%,90.60%,27.10%,64.80%,9/16/2022
12+,2022,15,At least one vaccine dose,72.50%,75.50%,65.80%,88.80%,40%,75.70%,9/16/2022
65+,2022,15,Completed vaccine series,95.60%,100%,82.60%,100%,79.50%,87.70%,9/16/2022
11-May,2022,15,Completed vaccine series,33.30%,22.60%,27.30%,57.40%,19.20%,26.70%,9/16/2022
5+,2022,15,Completed vaccine series,66.70%,61.50%,55.60%,80.70%,33.30%,62.20%,9/16/2022
45-64,2022,15,Completed vaccine series,67.30%,83.90%,63.90%,91.40%,54.60%,80.60%,9/16/2022
19-44,2022,15,Completed vaccine series,61.20%,61.10%,54.80%,77.20%,35.70%,66.60%,9/16/2022
18-Dec,2022,15,Completed vaccine series,53.20%,55.10%,54.20%,86%,25.50%,59.10%,9/16/2022
12+,2022,15,Completed vaccine series,69.70%,68.80%,60.30%,83.90%,37.60%,69.30%,9/16/2022
65+,2022,14,At least one vaccine dose,99%,100%,85.20%,100%,82.80%,94.20%,9/16/2022
11-May,2022,14,At least one vaccine dose,35.60%,27.30%,33.60%,62.60%,21%,31%,9/16/2022
5+,2022,14,At least one vaccine dose,69.40%,67.80%,61.10%,85.60%,35.50%,68.20%,9/16/2022
45-64,2022,14,At least one vaccine dose,69.10%,89%,68.10%,95.50%,56.40%,85.40%,9/16/2022
19-44,2022,14,At least one vaccine dose,64.70%,68.50%,61.30%,82.50%,38.50%,73.80%,9/16/2022
18-Dec,2022,14,At least one vaccine dose,55.50%,62.30%,60.40%,90.50%,27.10%,64.70%,9/16/2022
12+,2022,14,At least one vaccine dose,72.50%,75.40%,65.70%,88.80%,39.90%,75.60%,9/16/2022
65+,2022,14,Completed vaccine series,95.50%,100%,82.40%,100%,79.30%,87.60%,9/16/2022
11-May,2022,14,Completed vaccine series,33.20%,22.40%,27.10%,57.10%,19.10%,26.50%,9/16/2022
5+,2022,14,Completed vaccine series,66.60%,61.40%,55.50%,80.60%,33.30%,62.10%,9/16/2022
45-64,2022,14,Completed vaccine series,67.20%,83.80%,63.80%,91.30%,54.50%,80.50%,9/16/2022
19-44,2022,14,Completed vaccine series,61.20%,61%,54.60%,77.10%,35.70%,66.60%,9/16/2022
18-Dec,2022,14,Completed vaccine series,53.10%,55%,54.10%,85.90%,25.50%,59%,9/16/2022
12+,2022,14,Completed vaccine series,69.60%,68.60%,60.20%,83.80%,37.50%,69.20%,9/16/2022
65+,2022,13,At least one vaccine dose,98.90%,100%,85.10%,100%,82.70%,94.10%,9/16/2022
11-May,2022,13,At least one vaccine dose,35.50%,27%,33.50%,62.30%,20.90%,30.80%,9/16/2022
5+,2022,13,At least one vaccine dose,69.40%,67.70%,61%,85.50%,35.50%,68.10%,9/16/2022
45-64,2022,13,At least one vaccine dose,69.10%,88.90%,68%,95.40%,56.40%,85.40%,9/16/2022
19-44,2022,13,At least one vaccine dose,64.70%,68.30%,61.20%,82.50%,38.50%,73.70%,9/16/2022
18-Dec,2022,13,At least one vaccine dose,55.40%,62%,60.30%,90.40%,27%,64.60%,9/16/2022
12+,2022,13,At least one vaccine dose,72.40%,75.20%,65.60%,88.70%,39.90%,75.50%,9/16/2022
65+,2022,13,Completed vaccine series,95.40%,100%,82.40%,100%,79.20%,87.50%,9/16/2022
11-May,2022,13,Completed vaccine series,33.10%,22.10%,26.90%,56.60%,19.10%,26.30%,9/16/2022
5+,2022,13,Completed vaccine series,66.60%,61.20%,55.30%,80.50%,33.20%,62%,9/16/2022
45-64,2022,13,Completed vaccine series,67.20%,83.70%,63.70%,91.30%,54.50%,80.40%,9/16/2022
19-44,2022,13,Completed vaccine series,61.20%,60.80%,54.50%,77.10%,35.60%,66.50%,9/16/2022
18-Dec,2022,13,Completed vaccine series,53.10%,54.80%,53.90%,85.80%,25.40%,58.80%,9/16/2022
12+,2022,13,Completed vaccine series,69.60%,68.50%,60.10%,83.70%,37.50%,69.10%,9/16/2022
65+,2022,12,At least one vaccine dose,98.90%,100%,85.10%,100%,82.70%,94%,9/16/2022
11-May,2022,12,At least one vaccine dose,35.40%,26.80%,33.20%,61.90%,20.80%,30.60%,9/16/2022
5+,2022,12,At least one vaccine dose,69.40%,67.50%,60.90%,85.40%,35.40%,68%,9/16/2022
45-64,2022,12,At least one vaccine dose,69%,88.80%,68%,95.30%,56.30%,85.30%,9/16/2022
19-44,2022,12,At least one vaccine dose,64.60%,68.20%,61%,82.40%,38.50%,73.60%,9/16/2022
18-Dec,2022,12,At least one vaccine dose,55.40%,61.80%,60.10%,90.30%,27%,64.50%,9/16/2022
12+,2022,12,At least one vaccine dose,72.40%,75.10%,65.50%,88.60%,39.80%,75.40%,9/16/2022
65+,2022,12,Completed vaccine series,95.30%,100%,82.30%,100%,79.20%,87.40%,9/16/2022
11-May,2022,12,Completed vaccine series,33%,21.80%,26.60%,56.20%,19%,26.10%,9/16/2022
5+,2022,12,Completed vaccine series,66.50%,61%,55.20%,80.40%,33.10%,61.90%,9/16/2022
45-64,2022,12,Completed vaccine series,67.20%,83.60%,63.60%,91.20%,54.40%,80.40%,9/16/2022
19-44,2022,12,Completed vaccine series,61.10%,60.60%,54.30%,77%,35.60%,66.40%,9/16/2022
18-Dec,2022,12,Completed vaccine series,53%,54.60%,53.80%,85.60%,25.40%,58.60%,9/16/2022
12+,2022,12,Completed vaccine series,69.50%,68.30%,59.90%,83.70%,37.40%,69%,9/16/2022
65+,2022,11,At least one vaccine dose,98.90%,100%,85.10%,100%,82.70%,93.90%,9/16/2022
11-May,2022,11,At least one vaccine dose,35.30%,26.50%,33%,61.50%,20.80%,30.40%,9/16/2022
5+,2022,11,At least one vaccine dose,69.30%,67.30%,60.80%,85.30%,35.40%,67.80%,9/16/2022
45-64,2022,11,At least one vaccine dose,69%,88.70%,67.90%,95.30%,56.30%,85.20%,9/16/2022
19-44,2022,11,At least one vaccine dose,64.60%,68%,60.90%,82.30%,38.40%,73.50%,9/16/2022
18-Dec,2022,11,At least one vaccine dose,55.40%,61.70%,60%,90.20%,27%,64.30%,9/16/2022
12+,2022,11,At least one vaccine dose,72.40%,74.90%,65.40%,88.60%,39.80%,75.30%,9/16/2022
65+,2022,11,Completed vaccine series,95.30%,100%,82.20%,100%,79.10%,87.40%,9/16/2022
11-May,2022,11,Completed vaccine series,32.90%,21.30%,26.30%,55.60%,18.80%,25.80%,9/16/2022
5+,2022,11,Completed vaccine series,66.50%,60.80%,55%,80.20%,33.10%,61.70%,9/16/2022
45-64,2022,11,Completed vaccine series,67.20%,83.50%,63.50%,91.20%,54.40%,80.30%,9/16/2022
19-44,2022,11,Completed vaccine series,61.10%,60.40%,54.10%,76.90%,35.50%,66.30%,9/16/2022
18-Dec,2022,11,Completed vaccine series,53%,54.30%,53.50%,85.40%,25.30%,58.40%,9/16/2022
12+,2022,11,Completed vaccine series,69.50%,68.10%,59.80%,83.60%,37.40%,68.80%,9/16/2022
65+,2022,10,At least one vaccine dose,98.90%,100%,85.10%,100%,82.70%,93.90%,9/16/2022
11-May,2022,10,At least one vaccine dose,35.20%,26.10%,32.70%,61.10%,20.70%,30.20%,9/16/2022
5+,2022,10,At least one vaccine dose,69.30%,67.10%,60.60%,85.20%,35.30%,67.70%,9/16/2022
45-64,2022,10,At least one vaccine dose,69%,88.60%,67.80%,95.20%,56.30%,85.20%,9/16/2022
19-44,2022,10,At least one vaccine dose,64.60%,67.80%,60.70%,82.30%,38.40%,73.40%,9/16/2022
18-Dec,2022,10,At least one vaccine dose,55.30%,61.40%,59.90%,90%,26.90%,64.20%,9/16/2022
12+,2022,10,At least one vaccine dose,72.40%,74.80%,65.30%,88.50%,39.80%,75.20%,9/16/2022
65+,2022,10,Completed vaccine series,95.30%,100%,82.20%,100%,79.10%,87.40%,9/16/2022
11-May,2022,10,Completed vaccine series,32.70%,20.80%,26%,55%,18.70%,25.40%,9/16/2022
5+,2022,10,Completed vaccine series,66.40%,60.50%,54.80%,80.10%,33%,61.50%,9/16/2022
45-64,2022,10,Completed vaccine series,67.10%,83.30%,63.50%,91.20%,54.40%,80.30%,9/16/2022
19-44,2022,10,Completed vaccine series,61%,60.10%,53.90%,76.90%,35.50%,66.10%,9/16/2022
18-Dec,2022,10,Completed vaccine series,52.90%,54%,53.40%,85.20%,25.20%,58.20%,9/16/2022
12+,2022,10,Completed vaccine series,69.50%,67.90%,59.60%,83.50%,37.30%,68.70%,9/16/2022
65+,2022,9,At least one vaccine dose,98.90%,100%,85.10%,100%,82.70%,93.80%,9/16/2022
11-May,2022,9,At least one vaccine dose,35.10%,25.70%,32.50%,60.60%,20.60%,29.90%,9/16/2022
5+,2022,9,At least one vaccine dose,69.30%,66.90%,60.50%,85.10%,35.30%,67.60%,9/16/2022
45-64,2022,9,At least one vaccine dose,69%,88.50%,67.80%,95.20%,56.30%,85.10%,9/16/2022
19-44,2022,9,At least one vaccine dose,64.50%,67.60%,60.60%,82.20%,38.40%,73.20%,9/16/2022
18-Dec,2022,9,At least one vaccine dose,55.30%,61.20%,59.70%,89.80%,26.90%,64%,9/16/2022
12+,2022,9,At least one vaccine dose,72.30%,74.60%,65.20%,88.40%,39.70%,75%,9/16/2022
65+,2022,9,Completed vaccine series,95.20%,100%,82.20%,100%,79.10%,87.40%,9/16/2022
11-May,2022,9,Completed vaccine series,32.50%,20.20%,25.80%,54.30%,18.50%,24.90%,9/16/2022
5+,2022,9,Completed vaccine series,66.40%,60.20%,54.70%,79.90%,32.90%,61.30%,9/16/2022
45-64,2022,9,Completed vaccine series,67.10%,83.20%,63.40%,91.10%,54.30%,80.10%,9/16/2022
19-44,2022,9,Completed vaccine series,61%,59.80%,53.70%,76.70%,35.40%,65.90%,9/16/2022
18-Dec,2022,9,Completed vaccine series,52.80%,53.60%,53.10%,84.90%,25.10%,57.90%,9/16/2022
12+,2022,9,Completed vaccine series,69.40%,67.60%,59.50%,83.40%,37.30%,68.50%,9/16/2022
65+,2022,8,At least one vaccine dose,98.80%,100%,85%,100%,82.60%,93.80%,9/16/2022
11-May,2022,8,At least one vaccine dose,35%,25.20%,32.20%,60.10%,20.40%,29.60%,9/16/2022
5+,2022,8,At least one vaccine dose,69.20%,66.60%,60.30%,84.90%,35.20%,67.40%,9/16/2022
45-64,2022,8,At least one vaccine dose,69%,88.30%,67.70%,95.10%,56.20%,85%,9/16/2022
19-44,2022,8,At least one vaccine dose,64.50%,67.30%,60.40%,82.10%,38.30%,73.10%,9/16/2022
18-Dec,2022,8,At least one vaccine dose,55.20%,60.90%,59.50%,89.60%,26.80%,63.80%,9/16/2022
12+,2022,8,At least one vaccine dose,72.30%,74.30%,65%,88.30%,39.70%,74.90%,9/16/2022
65+,2022,8,Completed vaccine series,95.20%,100%,82.10%,100%,79.10%,87.30%,9/16/2022
11-May,2022,8,Completed vaccine series,32.10%,19.30%,24.90%,52.90%,18.20%,24%,9/16/2022
5+,2022,8,Completed vaccine series,66.30%,59.70%,54.30%,79.60%,32.70%,61%,9/16/2022
45-64,2022,8,Completed vaccine series,67.10%,83%,63.30%,91%,54.20%,80%,9/16/2022
19-44,2022,8,Completed vaccine series,60.90%,59.40%,53.40%,76.60%,35.30%,65.70%,9/16/2022
18-Dec,2022,8,Completed vaccine series,52.70%,53.10%,52.70%,84.60%,25%,57.50%,9/16/2022
12+,2022,8,Completed vaccine series,69.40%,67.30%,59.20%,83.20%,37.20%,68.30%,9/16/2022
65+,2022,7,At least one vaccine dose,98.80%,100%,84.90%,100%,82.60%,93.70%,9/16/2022
11-May,2022,7,At least one vaccine dose,34.80%,24.60%,31.80%,59.30%,20.20%,29%,9/16/2022
5+,2022,7,At least one vaccine dose,69.20%,66.30%,60.10%,84.70%,35.10%,67.10%,9/16/2022
45-64,2022,7,At least one vaccine dose,68.90%,88.20%,67.60%,95%,56.20%,84.90%,9/16/2022
19-44,2022,7,At least one vaccine dose,64.40%,67.10%,60.10%,82%,38.20%,72.90%,9/16/2022
18-Dec,2022,7,At least one vaccine dose,55.10%,60.50%,59.20%,89.40%,26.70%,63.50%,9/16/2022
12+,2022,7,At least one vaccine dose,72.30%,74.10%,64.80%,88.20%,39.60%,74.70%,9/16/2022
65+,2022,7,Completed vaccine series,95.20%,100%,82%,100%,79.10%,87.20%,9/16/2022
11-May,2022,7,Completed vaccine series,31.40%,17.70%,23.60%,49.80%,17.60%,22.50%,9/16/2022
5+,2022,7,Completed vaccine series,66.20%,59.10%,53.90%,79%,32.50%,60.40%,9/16/2022
45-64,2022,7,Completed vaccine series,67%,82.70%,63.10%,90.90%,54.20%,79.80%,9/16/2022
19-44,2022,7,Completed vaccine series,60.80%,59%,53.10%,76.40%,35.20%,65.30%,9/16/2022
18-Dec,2022,7,Completed vaccine series,52.40%,52.30%,52.20%,83.90%,24.90%,57%,9/16/2022
12+,2022,7,Completed vaccine series,69.30%,66.80%,59%,83%,37.10%,68%,9/16/2022
65+,2022,6,At least one vaccine dose,98.80%,100%,84.90%,100%,82.60%,93.60%,9/16/2022
11-May,2022,6,At least one vaccine dose,34.60%,24%,31.30%,58.50%,20.10%,28.40%,9/16/2022
5+,2022,6,At least one vaccine dose,69.10%,66%,59.90%,84.50%,35%,66.80%,9/16/2022
45-64,2022,6,At least one vaccine dose,68.90%,88%,67.50%,95%,56.10%,84.70%,9/16/2022
19-44,2022,6,At least one vaccine dose,64.40%,66.70%,59.90%,81.80%,38.10%,72.60%,9/16/2022
18-Dec,2022,6,At least one vaccine dose,55%,60%,58.90%,89.20%,26.60%,63.20%,9/16/2022
12+,2022,6,At least one vaccine dose,72.20%,73.80%,64.60%,88%,39.50%,74.40%,9/16/2022
65+,2022,6,Completed vaccine series,95.20%,100%,82%,100%,79%,87.10%,9/16/2022
11-May,2022,6,Completed vaccine series,30.60%,16.40%,22.30%,46.80%,17%,20.80%,9/16/2022
5+,2022,6,Completed vaccine series,66%,58.50%,53.50%,78.40%,32.30%,59.80%,9/16/2022
45-64,2022,6,Completed vaccine series,67%,82.50%,62.90%,90.80%,54%,79.60%,9/16/2022
19-44,2022,6,Completed vaccine series,60.60%,58.40%,52.80%,76.10%,35.10%,64.90%,9/16/2022
18-Dec,2022,6,Completed vaccine series,52.20%,51.60%,51.70%,83.10%,24.60%,56.30%,9/16/2022
12+,2022,6,Completed vaccine series,69.20%,66.40%,58.60%,82.70%,36.90%,67.50%,9/16/2022
65+,2022,5,At least one vaccine dose,98.80%,100%,84.90%,100%,82.60%,93.50%,9/16/2022
11-May,2022,5,At least one vaccine dose,34.30%,22.90%,30.70%,57.10%,19.80%,27.60%,9/16/2022
5+,2022,5,At least one vaccine dose,69%,65.50%,59.60%,84.20%,34.90%,66.40%,9/16/2022
45-64,2022,5,At least one vaccine dose,68.90%,87.80%,67.40%,94.90%,56.10%,84.50%,9/16/2022
19-44,2022,5,At least one vaccine dose,64.30%,66.20%,59.60%,81.60%,38%,72.20%,9/16/2022
18-Dec,2022,5,At least one vaccine dose,54.90%,59.50%,58.50%,88.90%,26.50%,62.70%,9/16/2022
12+,2022,5,At least one vaccine dose,72.10%,73.40%,64.40%,87.80%,39.40%,74.10%,9/16/2022
65+,2022,5,Completed vaccine series,95.10%,100%,81.90%,100%,78.90%,87.10%,9/16/2022
11-May,2022,5,Completed vaccine series,29.70%,14.80%,21%,43.80%,16.50%,19.30%,9/16/2022
5+,2022,5,Completed vaccine series,65.80%,57.90%,53%,77.80%,32%,59.20%,9/16/2022
45-64,2022,5,Completed vaccine series,66.90%,82.10%,62.60%,90.60%,53.90%,79.40%,9/16/2022
19-44,2022,5,Completed vaccine series,60.50%,57.90%,52.30%,75.80%,34.90%,64.40%,9/16/2022
18-Dec,2022,5,Completed vaccine series,51.90%,50.80%,51.20%,82.40%,24.50%,55.60%,9/16/2022
12+,2022,5,Completed vaccine series,69.10%,65.90%,58.30%,82.40%,36.70%,67.10%,9/16/2022
65+,2022,4,At least one vaccine dose,98.80%,100%,84.80%,100%,82.60%,93.20%,9/16/2022
11-May,2022,4,At least one vaccine dose,33.70%,21.30%,29.40%,54.30%,19.20%,26.10%,9/16/2022
5+,2022,4,At least one vaccine dose,68.90%,64.80%,59.20%,83.60%,34.60%,65.80%,9/16/2022
45-64,2022,4,At least one vaccine dose,68.80%,87.50%,67.20%,94.70%,55.90%,84.20%,9/16/2022
19-44,2022,4,At least one vaccine dose,64.10%,65.70%,59.20%,81.30%,37.90%,71.70%,9/16/2022
18-Dec,2022,4,At least one vaccine dose,54.70%,58.70%,58.10%,88.10%,26.40%,62.10%,9/16/2022
12+,2022,4,At least one vaccine dose,72.10%,72.90%,64.10%,87.50%,39.30%,73.70%,9/16/2022
65+,2022,4,Completed vaccine series,95.10%,100%,81.80%,100%,78.90%,87%,9/16/2022
11-May,2022,4,Completed vaccine series,28.70%,13.40%,19.90%,40.30%,15.80%,17.80%,9/16/2022
5+,2022,4,Completed vaccine series,65.60%,57.20%,52.60%,77%,31.70%,58.50%,9/16/2022
45-64,2022,4,Completed vaccine series,66.80%,81.80%,62.40%,90.50%,53.80%,79.10%,9/16/2022
19-44,2022,4,Completed vaccine series,60.30%,57.30%,52%,75.50%,34.80%,64%,9/16/2022
18-Dec,2022,4,Completed vaccine series,51.60%,49.90%,50.60%,81.40%,24.20%,55%,9/16/2022
12+,2022,4,Completed vaccine series,68.90%,65.30%,58%,82%,36.60%,66.70%,9/16/2022
65+,2022,3,At least one vaccine dose,98.70%,100%,84.70%,100%,82.50%,93.10%,9/16/2022
11-May,2022,3,At least one vaccine dose,32.90%,19.70%,28.30%,51.30%,18.60%,24.30%,9/16/2022
5+,2022,3,At least one vaccine dose,68.70%,64%,58.60%,82.80%,34.30%,65%,9/16/2022
45-64,2022,3,At least one vaccine dose,68.70%,87.10%,66.90%,94.50%,55.80%,83.90%,9/16/2022
19-44,2022,3,At least one vaccine dose,63.90%,65%,58.70%,80.90%,37.70%,71.10%,9/16/2022
18-Dec,2022,3,At least one vaccine dose,54.40%,57.80%,57.50%,87.20%,26.10%,61.30%,9/16/2022
12+,2022,3,At least one vaccine dose,71.90%,72.30%,63.70%,87.10%,39.10%,73.10%,9/16/2022
65+,2022,3,Completed vaccine series,95.10%,100%,81.80%,100%,78.80%,86.90%,9/16/2022
11-May,2022,3,Completed vaccine series,27.80%,12%,19%,37.60%,15%,16.40%,9/16/2022
5+,2022,3,Completed vaccine series,65.40%,56.50%,52.10%,76.50%,31.40%,58%,9/16/2022
45-64,2022,3,Completed vaccine series,66.70%,81.50%,62.30%,90.40%,53.60%,78.80%,9/16/2022
19-44,2022,3,Completed vaccine series,60.10%,56.80%,51.50%,75.20%,34.70%,63.50%,9/16/2022
18-Dec,2022,3,Completed vaccine series,51.30%,49%,50.20%,80.70%,24%,54.40%,9/16/2022
12+,2022,3,Completed vaccine series,68.80%,64.80%,57.70%,81.80%,36.40%,66.30%,9/16/2022
65+,2022,2,At least one vaccine dose,98.70%,100%,84.60%,100%,82.40%,92.90%,9/16/2022
11-May,2022,2,At least one vaccine dose,31.90%,18.10%,26.60%,48.30%,18%,22.80%,9/16/2022
5+,2022,2,At least one vaccine dose,68.50%,63.20%,58%,82.10%,34%,64.20%,9/16/2022
45-64,2022,2,At least one vaccine dose,68.60%,86.70%,66.70%,94.20%,55.70%,83.50%,9/16/2022
19-44,2022,2,At least one vaccine dose,63.70%,64.30%,58.10%,80.40%,37.40%,70.40%,9/16/2022
18-Dec,2022,2,At least one vaccine dose,54.10%,56.90%,56.70%,86.40%,25.90%,60.60%,9/16/2022
12+,2022,2,At least one vaccine dose,71.80%,71.60%,63.20%,86.70%,38.90%,72.50%,9/16/2022
65+,2022,2,Completed vaccine series,95%,100%,81.70%,100%,78.70%,86.80%,9/16/2022
11-May,2022,2,Completed vaccine series,26.90%,10.70%,17.90%,34.90%,14.30%,15.40%,9/16/2022
5+,2022,2,Completed vaccine series,65.20%,55.90%,51.70%,75.90%,31.20%,57.60%,9/16/2022
45-64,2022,2,Completed vaccine series,66.60%,81.20%,62.10%,90.20%,53.60%,78.60%,9/16/2022
19-44,2022,2,Completed vaccine series,59.90%,56.30%,51.10%,75%,34.50%,63.20%,9/16/2022
18-Dec,2022,2,Completed vaccine series,51%,48.30%,49.70%,80.10%,23.80%,53.90%,9/16/2022
12+,2022,2,Completed vaccine series,68.60%,64.30%,57.30%,81.50%,36.30%,65.90%,9/16/2022
65+,2022,1,At least one vaccine dose,98.60%,100%,84.60%,100%,82.20%,92.60%,9/16/2022
11-May,2022,1,At least one vaccine dose,31%,16.40%,24.90%,44.60%,17.30%,21.10%,9/16/2022
5+,2022,1,At least one vaccine dose,68.20%,62.30%,57.40%,81.20%,33.70%,63.40%,9/16/2022
45-64,2022,1,At least one vaccine dose,68.50%,86.20%,66.40%,93.90%,55.50%,83.10%,9/16/2022
19-44,2022,1,At least one vaccine dose,63.40%,63.50%,57.60%,79.90%,37.20%,69.70%,9/16/2022
18-Dec,2022,1,At least one vaccine dose,53.70%,55.80%,56%,85.40%,25.60%,59.80%,9/16/2022
12+,2022,1,At least one vaccine dose,71.60%,70.90%,62.80%,86.10%,38.60%,71.80%,9/16/2022
65+,2022,1,Completed vaccine series,95%,100%,81.60%,100%,78.70%,86.60%,9/16/2022
11-May,2022,1,Completed vaccine series,25.80%,9.40%,16.60%,32%,13.50%,14%,9/16/2022
5+,2022,1,Completed vaccine series,65%,55.30%,51.20%,75.30%,30.90%,57%,9/16/2022
45-64,2022,1,Completed vaccine series,66.40%,80.90%,61.90%,90.10%,53.50%,78.40%,9/16/2022
19-44,2022,1,Completed vaccine series,59.70%,55.70%,50.70%,74.70%,34.30%,62.80%,9/16/2022
18-Dec,2022,1,Completed vaccine series,50.70%,47.60%,49.20%,79.40%,23.60%,53.40%,9/16/2022
12+,2022,1,Completed vaccine series,68.50%,63.80%,57%,81.20%,36.10%,65.60%,9/16/2022
65+,2021,52,At least one vaccine dose,98.60%,100%,84.50%,100%,82.10%,92.30%,9/16/2022
11-May,2021,52,At least one vaccine dose,30%,14.70%,23.60%,41.70%,16.60%,19.50%,9/16/2022
5+,2021,52,At least one vaccine dose,67.90%,61.50%,56.90%,80.40%,33.30%,62.70%,9/16/2022
45-64,2021,52,At least one vaccine dose,68.30%,85.80%,66.10%,93.60%,55.20%,82.70%,9/16/2022
19-44,2021,52,At least one vaccine dose,63.10%,62.80%,57.10%,79.40%,36.90%,69%,9/16/2022
18-Dec,2021,52,At least one vaccine dose,53.40%,54.80%,55.20%,84.70%,25.40%,59.10%,9/16/2022
12+,2021,52,At least one vaccine dose,71.30%,70.20%,62.40%,85.70%,38.40%,71.20%,9/16/2022
